Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
0.0000000000,59.6610704017,10.6748158033,6614856.7912911261,594364.6325763463
0.0013108253,59.6610704432,10.6748157883,6614856.7958903555,594364.6316147144
0.0025525093,59.6610704230,10.6748158367,6614856.7937137382,594364.6343942550
0.6114854813,59.6610704108,10.6748158417,6614856.7923662243,594364.6347101162
1.5541911125,59.6610704110,10.6748158333,6614856.7923729345,594364.6342401860
2.5406413078,59.6610714127,10.6748185533,6614856.9077639980,594364.7846582341
3.5656516552,59.6610721145,10.6748201817,6614856.9882200761,594364.8744191886
4.5385377407,59.6610730830,10.6748228367,6614857.0998260109,594365.0212686056
5.5513961315,59.6610750562,10.6748276033,6614857.3262922252,594365.2842568820
6.5647125244,59.6610770513,10.6748321450,6614857.5548880380,594365.5345078433
6.5647125244,59.6610787902,10.6748367900,6614857.7550909594,594365.7913003155
7.5923557281,59.6610805367,10.6748411333,6614857.9557186319,594366.0310767017
8.5634837151,59.6610820973,10.6748452283,6614858.1353028407,594366.2573852362
9.6162741184,59.6610838477,10.6748497117,6614858.3365563722,594366.5050377600
10.6025481224,59.6610857330,10.6748542400,6614858.5529046170,594366.7548460397
11.5632781982,59.6610875488,10.6748587133,6614858.7614366496,594367.0017511183
12.5615277290,59.6610892365,10.6748634383,6614858.9560565809,594367.2631940253
13.5748403072,59.6610910958,10.6748681567,6614859.1697801892,594367.5237789983
14.5737688541,59.6610930020,10.6748726283,6614859.3883674927,594367.7703362874
15.5590386391,59.6610949012,10.6748773900,6614859.6065877341,594368.0332504797
16.5851337910,59.6610967318,10.6748818417,6614859.8167405715,594368.2788931390
17.5717439651,59.6610984273,10.6748863767,6614860.0119626271,594368.5296101724
18.5575864315,59.6611002813,10.6748910717,6614860.2250593426,594368.7888954922
19.5832791328,59.6611020657,10.6748956283,6614860.4302028203,594369.0405834694
20.5829586983,59.6611038897,10.6749003817,6614860.6400423478,594369.3032392550
21.6107990742,59.6611057103,10.6749049700,6614860.8492761850,594369.5566090402
