Img_Time(Sec),GPS_Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
0.00000,0.00000,59.6610704017,10.6748158033,6614856.791,594364.633
0.00105,0.00131,59.6610704432,10.6748157883,6614856.796,594364.632
0.00369,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.00516,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.00876,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.00982,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.01168,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.01650,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.03488,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.03810,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.03964,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.04054,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.08289,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.08320,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.08356,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.08461,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.08483,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.08505,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.08523,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.08555,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.08626,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.08731,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.09528,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.09685,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.10974,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.13037,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.13379,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.13602,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.13729,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.13787,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.13845,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.13902,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.13956,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.14012,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.14116,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.14728,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.15105,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.15797,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.16010,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.16099,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.16541,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.17588,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.17622,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.17779,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.18069,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.18288,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.18364,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.24482,0.00255,59.6610704230,10.6748158367,6614856.794,594364.634
0.41235,0.61149,59.6610704108,10.6748158417,6614856.792,594364.635
0.58468,0.61149,59.6610704108,10.6748158417,6614856.792,594364.635
0.75305,0.61149,59.6610704108,10.6748158417,6614856.792,594364.635
0.90867,0.61149,59.6610704108,10.6748158417,6614856.792,594364.635
1.07900,0.61149,59.6610704108,10.6748158417,6614856.792,594364.635
1.23259,1.55419,59.6610704110,10.6748158333,6614856.792,594364.634
1.41222,1.55419,59.6610704110,10.6748158333,6614856.792,594364.634
1.59917,1.55419,59.6610704110,10.6748158333,6614856.792,594364.634
1.73289,1.55419,59.6610704110,10.6748158333,6614856.792,594364.634
1.92464,1.55419,59.6610704110,10.6748158333,6614856.792,594364.634
2.10203,2.54064,59.6610714127,10.6748185533,6614856.908,594364.785
2.25397,2.54064,59.6610714127,10.6748185533,6614856.908,594364.785
2.42640,2.54064,59.6610714127,10.6748185533,6614856.908,594364.785
2.58068,2.54064,59.6610714127,10.6748185533,6614856.908,594364.785
2.73138,2.54064,59.6610714127,10.6748185533,6614856.908,594364.785
2.89279,2.54064,59.6610714127,10.6748185533,6614856.908,594364.785
3.09944,3.56565,59.6610721145,10.6748201817,6614856.988,594364.874
3.22381,3.56565,59.6610721145,10.6748201817,6614856.988,594364.874
3.43546,3.56565,59.6610721145,10.6748201817,6614856.988,594364.874
