Time(Sec),Roll(rad),Pitch(rad),Yaw(rad),A_x(m/s2),A_y(m/s2),A_z(m/s2)
0.000000,-0.050188,-0.106944,0.164520,1.036599,-0.506879,9.693512
0.000059,-0.050226,-0.106940,0.164497,1.051026,-0.507837,9.694479
0.000062,-0.050193,-0.106924,0.164508,1.039745,-0.481735,9.687431
0.000099,-0.050199,-0.106921,0.164473,1.041138,-0.501758,9.698215
0.000102,-0.050191,-0.106912,0.164486,1.055441,-0.513685,9.688858
0.000137,-0.050231,-0.106919,0.164504,1.056925,-0.504814,9.696651
0.000502,-0.050274,-0.106914,0.164500,1.038197,-0.492344,9.697080
0.000596,-0.050293,-0.106922,0.164504,1.027818,-0.487366,9.684392
0.000599,-0.050268,-0.106926,0.164520,1.031280,-0.505801,9.687357
0.000627,-0.050289,-0.106944,0.164497,1.035259,-0.508956,9.698812
0.000630,-0.050307,-0.106960,0.164533,1.035983,-0.514296,9.693890
0.000668,-0.050286,-0.106964,0.164544,1.041601,-0.504217,9.709926
0.000708,-0.050259,-0.106944,0.164555,1.054811,-0.493115,9.688563
0.000772,-0.050248,-0.106943,0.164554,1.041979,-0.507587,9.698958
0.000775,-0.050263,-0.106928,0.164542,1.043383,-0.496233,9.695178
0.000825,-0.050292,-0.106944,0.164543,1.041551,-0.513991,9.693649
0.000840,-0.050279,-0.106953,0.164559,1.035068,-0.489504,9.686226
0.000843,-0.050249,-0.106957,0.164564,1.052150,-0.508527,9.701017
0.000845,-0.050253,-0.106976,0.164584,1.042543,-0.497173,9.691434
0.000847,-0.050256,-0.106984,0.164596,1.041158,-0.508090,9.695814
0.000891,-0.050249,-0.106985,0.164610,1.040127,-0.523141,9.701051
0.000893,-0.050245,-0.106954,0.164610,1.035870,-0.504815,9.680484
0.000896,-0.050270,-0.106956,0.164593,1.046600,-0.504762,9.692430
0.000954,-0.050273,-0.106954,0.164616,1.026860,-0.501908,9.693850
0.000957,-0.050238,-0.106952,0.164630,1.029735,-0.499364,9.701573
0.000960,-0.050269,-0.106958,0.164611,1.044367,-0.508145,9.691823
0.000963,-0.050246,-0.106958,0.164598,1.050154,-0.516151,9.694651
0.000971,-0.050265,-0.106980,0.164612,1.052075,-0.499227,9.682143
0.000974,-0.050289,-0.107006,0.164598,1.045219,-0.505611,9.686260
