Img_Time(Sec),IMU_Time(Sec),Roll(rad),Pitch(rad),Yaw(rad)
0.00000,0.00000,-0.05019,-0.10694,0.16452
0.00105,0.00098,-0.05030,-0.10702,0.16460
0.00369,0.00441,-0.05036,-0.10707,0.16455
0.00516,0.00467,-0.05042,-0.10709,0.16457
0.00876,0.00869,-0.05040,-0.10708,0.16455
0.00982,0.00985,-0.05041,-0.10704,0.16455
0.01168,0.01176,-0.05046,-0.10701,0.16454
0.01650,0.01303,-0.05058,-0.10697,0.16461
0.03488,0.01303,-0.05058,-0.10697,0.16461
0.03810,0.01303,-0.05058,-0.10697,0.16461
0.03964,0.01303,-0.05058,-0.10697,0.16461
0.04054,0.01303,-0.05058,-0.10697,0.16461
0.08289,0.01303,-0.05058,-0.10697,0.16461
0.08320,0.01303,-0.05058,-0.10697,0.16461
0.08356,0.01303,-0.05058,-0.10697,0.16461
0.08461,0.01303,-0.05058,-0.10697,0.16461
0.08483,0.01303,-0.05058,-0.10697,0.16461
0.08505,0.01303,-0.05058,-0.10697,0.16461
0.08523,0.01303,-0.05058,-0.10697,0.16461
0.08555,0.01303,-0.05058,-0.10697,0.16461
0.08626,0.01303,-0.05058,-0.10697,0.16461
0.08731,0.01303,-0.05058,-0.10697,0.16461
0.09528,0.01303,-0.05058,-0.10697,0.16461
0.09685,0.01303,-0.05058,-0.10697,0.16461
0.10974,0.20052,-0.05056,-0.10694,0.16458
0.13037,0.20052,-0.05056,-0.10694,0.16458
0.13379,0.20052,-0.05056,-0.10694,0.16458
0.13602,0.20052,-0.05056,-0.10694,0.16458
0.13729,0.20052,-0.05056,-0.10694,0.16458
0.13787,0.20052,-0.05056,-0.10694,0.16458
0.13845,0.20052,-0.05056,-0.10694,0.16458
0.13902,0.20052,-0.05056,-0.10694,0.16458
0.13956,0.20052,-0.05056,-0.10694,0.16458
0.14012,0.20052,-0.05056,-0.10694,0.16458
0.14116,0.20052,-0.05056,-0.10694,0.16458
0.14728,0.20052,-0.05056,-0.10694,0.16458
0.15105,0.20052,-0.05056,-0.10694,0.16458
0.15797,0.20052,-0.05056,-0.10694,0.16458
0.16010,0.20052,-0.05056,-0.10694,0.16458
0.16099,0.20052,-0.05056,-0.10694,0.16458
0.16541,0.20052,-0.05056,-0.10694,0.16458
0.17588,0.20052,-0.05056,-0.10694,0.16458
0.17622,0.20052,-0.05056,-0.10694,0.16458
0.17779,0.20052,-0.05056,-0.10694,0.16458
0.18069,0.20052,-0.05056,-0.10694,0.16458
0.18288,0.20052,-0.05056,-0.10694,0.16458
0.18364,0.20052,-0.05056,-0.10694,0.16458
0.24482,0.24792,-0.05059,-0.10688,0.16455
0.41235,0.26103,-0.05063,-0.10689,0.16446
0.58468,0.61064,-0.05062,-0.10691,0.16448
0.75305,0.75400,-0.05061,-0.10687,0.16446
0.90867,0.91393,-0.05058,-0.10690,0.16442
1.07900,1.07603,-0.05053,-0.10694,0.16445
1.23259,1.24464,-0.05056,-0.10685,0.16441
1.41222,1.40748,-0.05034,-0.10678,0.16435
1.59917,1.58024,-0.05019,-0.10679,0.16440
1.73289,1.73611,-0.05016,-0.10684,0.16442
1.92464,1.91586,-0.05063,-0.11333,0.16424
2.10203,2.14614,-0.05067,-0.11329,0.16431
2.25397,2.24661,-0.04977,-0.10504,0.16480
2.42640,2.43337,-0.05010,-0.10529,0.16704
2.58068,2.55343,-0.05013,-0.10541,0.16675
2.73138,2.73933,-0.05013,-0.10533,0.16721
2.89279,2.88637,-0.05063,-0.10501,0.16798
3.09944,3.09923,-0.05209,-0.10358,0.16997
3.22381,3.19247,-0.05262,-0.10303,0.17034
3.43546,3.43292,-0.05193,-0.10451,0.17098
3.55587,3.56551,-0.05157,-0.10494,0.17161
3.72937,3.75244,-0.05028,-0.10646,0.17164
3.89079,3.87230,-0.04888,-0.10687,0.17299
4.09508,4.08604,-0.04842,-0.10635,0.17335
4.22344,4.29578,-0.04844,-0.10626,0.17340
4.43247,4.41856,-0.05139,-0.10065,0.17460
4.55855,4.55187,-0.05231,-0.09848,0.17510
4.72237,4.72474,-0.05410,-0.09442,0.17540
4.89236,4.89797,-0.05590,-0.09120,0.17572
5.06339,5.05875,-0.05675,-0.09002,0.17485
5.23336,5.31936,-0.05629,-0.09010,0.17517
5.42395,5.41952,-0.05619,-0.08783,0.18176
5.56015,5.56501,-0.05754,-0.08650,0.19067
5.72624,5.73775,-0.05971,-0.08668,0.20867
5.92700,5.88505,-0.05826,-0.08722,0.21932
6.07202,6.04772,-0.05995,-0.08823,0.22186
6.25179,6.23067,-0.06220,-0.09071,0.22288
6.39037,6.39062,-0.06342,-0.09139,0.22295
6.55654,6.56457,-0.06335,-0.08999,0.22463
6.73968,6.75108,-0.06312,-0.08999,0.22581
6.89107,6.89729,-0.06215,-0.09135,0.22674
7.08408,7.08394,-0.06019,-0.09146,0.22851
7.08408,7.15065,-0.05977,-0.09107,0.22907
7.25009,7.24254,-0.05910,-0.09061,0.22993
7.41851,7.41561,-0.05780,-0.09131,0.22434
7.58304,7.56225,-0.05724,-0.09169,0.21679
7.74809,7.70997,-0.05725,-0.09156,0.21543
7.91791,7.92212,-0.05803,-0.09006,0.21571
8.08399,8.08198,-0.05812,-0.09024,0.21428
8.24916,8.25527,-0.05814,-0.08961,0.21545
8.41471,8.40182,-0.05642,-0.08738,0.21533
8.58155,8.57591,-0.05490,-0.08574,0.21558
8.76715,8.76157,-0.05422,-0.08683,0.21587
8.91757,8.92150,-0.05405,-0.08811,0.21080
9.08285,9.08134,-0.05331,-0.08938,0.20893
9.24978,9.25463,-0.05198,-0.08940,0.20928
9.41499,9.42792,-0.05124,-0.08934,0.20924
9.58440,9.58775,-0.05066,-0.09082,0.20616
9.74965,9.74759,-0.05113,-0.09227,0.20656
9.92100,9.90745,-0.05139,-0.09374,0.20746
10.08930,10.11708,-0.05135,-0.09385,0.20759
10.26561,10.25424,-0.05253,-0.09246,0.21126
10.41600,10.41929,-0.05296,-0.09159,0.21279
10.58562,10.58685,-0.05312,-0.09097,0.21385
10.78088,10.78721,-0.05268,-0.08973,0.21628
10.93308,10.94697,-0.05343,-0.08976,0.21785
11.08299,11.08010,-0.05362,-0.09101,0.21916
11.25357,11.22657,-0.05345,-0.09133,0.22004
11.41590,11.45330,-0.05387,-0.09136,0.21992
11.58619,11.58634,-0.05577,-0.09505,0.21743
11.75292,11.74650,-0.05502,-0.09705,0.21497
11.93667,11.94658,-0.05587,-0.09592,0.21200
12.11225,12.10594,-0.05576,-0.09419,0.21254
12.24885,12.25310,-0.05650,-0.09411,0.21270
12.41596,12.43933,-0.05688,-0.09498,0.21361
12.59524,12.59935,-0.05663,-0.09423,0.21268
12.74901,12.77889,-0.05585,-0.09395,0.21357
12.92285,12.91897,-0.05549,-0.09193,0.20064
13.08172,13.09249,-0.05382,-0.09280,0.19121
13.24790,13.25238,-0.05205,-0.09214,0.18669
13.43657,13.43847,-0.05114,-0.09209,0.18608
13.58051,13.61194,-0.05150,-0.09179,0.18704
13.74925,13.74535,-0.05278,-0.09081,0.18795
13.91702,13.91841,-0.05288,-0.08938,0.19006
14.10194,14.10700,-0.04960,-0.08712,0.19347
14.26144,14.25193,-0.05002,-0.08821,0.19456
14.43136,14.43801,-0.05083,-0.08883,0.19494
14.52076,14.53165,-0.05046,-0.08873,0.19559
14.71991,14.71787,-0.04916,-0.08975,0.19873
14.84374,14.83811,-0.04989,-0.09105,0.19985
15.00143,14.93160,-0.05056,-0.09102,0.19985
15.18176,15.18492,-0.05172,-0.09008,0.20065
15.33138,15.33088,-0.05287,-0.09055,0.20160
15.49835,15.47722,-0.05441,-0.09042,0.20233
15.66437,15.66417,-0.05574,-0.08788,0.20395
15.82751,15.82410,-0.05405,-0.08428,0.20582
15.99514,16.01055,-0.05273,-0.08389,0.20650
16.15972,16.14366,-0.05363,-0.08480,0.20776
16.32374,16.33029,-0.05539,-0.08607,0.20886
16.49649,16.49044,-0.05524,-0.08706,0.21027
16.69374,16.67682,-0.05562,-0.08855,0.21193
16.81843,16.87349,-0.05574,-0.08858,0.21200
16.98456,17.01073,-0.05650,-0.08897,0.21226
17.15280,17.19595,-0.05804,-0.09004,0.21199
17.33437,17.33031,-0.06036,-0.09045,0.21185
17.48399,17.48815,-0.06067,-0.09144,0.21313
17.68656,17.66281,-0.05359,-0.09240,0.20838
17.81406,17.81032,-0.05390,-0.09140,0.20204
17.97692,17.98250,-0.05358,-0.09188,0.19366
18.15321,18.12936,-0.05460,-0.09242,0.19098
18.32157,18.31559,-0.05477,-0.09254,0.18970
18.47675,18.47568,-0.05578,-0.09155,0.18884
18.64482,18.63556,-0.05725,-0.09069,0.18944
18.80526,18.77049,-0.05761,-0.09054,0.19007
18.97010,18.95643,-0.05888,-0.08847,0.19121
19.14021,19.08835,-0.05923,-0.08802,0.19267
19.33107,19.32852,-0.06001,-0.08733,0.18903
19.51153,19.51517,-0.06109,-0.08591,0.19060
19.63214,19.64846,-0.06103,-0.08515,0.19071
19.82545,19.80842,-0.06202,-0.08706,0.18848
19.96657,19.96795,-0.06326,-0.08942,0.18977
20.13408,20.12798,-0.06328,-0.09094,0.18987
20.31873,20.31442,-0.06433,-0.09077,0.19126
20.50748,20.51446,-0.06497,-0.09079,0.19304
20.62763,20.62120,-0.06504,-0.08990,0.19301
20.81074,20.79450,-0.06545,-0.08847,0.19335
20.95813,20.96860,-0.06545,-0.08842,0.19344
21.12998,21.14070,-0.06309,-0.08701,0.19575
21.29198,21.28707,-0.06363,-0.08699,0.19633
21.45349,21.44731,-0.06099,-0.08691,0.19153
21.62151,21.63358,-0.05927,-0.08575,0.18883
21.78967,21.78092,-0.05775,-0.08657,0.18823
21.95036,21.94002,-0.05954,-0.08706,0.18811
22.16220,22.15349,-0.05985,-0.08813,0.18986
22.28216,22.28909,-0.05966,-0.08787,0.19116
22.50264,22.47343,-0.06053,-0.08859,0.19209
22.61244,22.62047,-0.06121,-0.08861,0.19245
22.78018,22.80621,-0.06119,-0.08830,0.19368
22.99267,22.99298,-0.05982,-0.09013,0.19568
23.11243,23.12634,-0.05941,-0.09075,0.19613
23.11243,23.27259,-0.06015,-0.09363,0.19796
23.26649,23.27259,-0.06015,-0.09363,0.19796
23.43135,23.41966,-0.06095,-0.09561,0.19891
23.59469,23.60583,-0.06244,-0.09736,0.20020
23.76177,23.75226,-0.06304,-0.09536,0.20091
23.93230,23.92603,-0.06434,-0.09493,0.20250
24.13479,24.11211,-0.06535,-0.09346,0.20482
24.25698,24.24538,-0.06559,-0.09326,0.20610
24.46736,24.47197,-0.06588,-0.09391,0.20819
24.58799,24.57863,-0.06601,-0.09447,0.20882
24.75725,24.71253,-0.06466,-0.09564,0.20912
24.92458,24.92529,-0.06266,-0.09758,0.20590
25.10316,25.09822,-0.05930,-0.09804,0.20358
25.24998,25.25856,-0.05731,-0.09834,0.20203
25.41549,25.41838,-0.05620,-0.09948,0.19108
25.58152,25.57786,-0.05420,-0.10032,0.17782
25.74992,25.75141,-0.05184,-0.09944,0.16980
25.95003,25.93824,-0.04906,-0.10083,0.16877
26.07886,26.07100,-0.04758,-0.10071,0.16954
26.24318,26.24470,-0.04752,-0.10069,0.17173
26.40946,26.40455,-0.04904,-0.10109,0.17357
26.57983,26.59083,-0.05054,-0.10199,0.17422
26.75590,26.75228,-0.05073,-0.10217,0.17538
26.91331,26.91332,-0.05163,-0.10218,0.17654
27.08210,27.08804,-0.05309,-0.10039,0.17748
27.25961,27.26253,-0.05413,-0.09901,0.17692
27.41336,27.42374,-0.05421,-0.09644,0.17847
27.58162,27.58482,-0.05327,-0.09377,0.18057
27.75474,27.78662,-0.05323,-0.09357,0.18096
27.93839,27.81349,-0.05373,-0.09450,0.18122
28.12790,28.25064,-0.05379,-0.09463,0.18127
28.27960,28.25617,-0.05399,-0.09448,0.18522
