Time(Sec),X(m),Y(m),theta(rad),V_x(m/s),V_y(m/s)
0.000000,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.000038,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.000122,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.000247,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.000256,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.000310,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.000521,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.000526,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.000535,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.000575,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.001028,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.001091,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.001114,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.001153,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.001227,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.001298,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.001383,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.001476,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.001594,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.001647,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.001814,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.001930,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.002050,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.002083,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.002229,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.002270,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.002285,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.002446,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.002579,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.003938,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.003941,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.003944,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.003990,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.003996,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.006721,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.007867,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.008586,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.200336,-0.003880,0.000009,-0.000022,0.000000,0.000000
0.200472,-0.003880,0.000009,-0.000022,0.000000,0.000000
