Time(Sec),LO(m),AO(deg)
1.0000000000,0.0000000000,0.0000000000
2.0000000000,0.0000000000,-12.1258672620
3.0000000000,0.0000000000,129.1786112808
4.0000000000,0.0000000000,155.8965491176
5.0000000000,0.0000000000,-64.8368934132
6.0000000000,0.0000000000,52.0548397517
7.0000000000,0.0000000000,47.6838450725
8.0000000000,0.0586857080,2.2622766661
9.0000000000,0.0515665772,-1.1083279224
10.0000000000,0.0259341706,-4.1373789978
11.0000000000,0.0370208522,1.9505193672
12.0000000000,0.0335721924,-0.8108298680
13.0000000000,0.0382907941,0.9184139080
14.0000000000,0.0406366604,0.4357280447
15.0000000000,0.0312135781,-1.6073652064
16.0000000000,0.0231391754,-1.4295801750
17.0000000000,0.0367716543,2.4155259309
18.0000000000,0.0384407915,0.2938773414
19.0000000000,0.0131581924,-4.2789361390
20.0000000000,0.0353976598,1.3323067159
21.0000000000,0.0317696219,-0.6307628243
22.0000000000,0.0433236814,2.1062434274
23.0000000000,0.0415786448,3.2222348181
24.0000000000,0.0487801880,1.2445677534
25.0000000000,0.0590482098,1.7716990626
26.0000000000,0.0564601461,-0.4475505044
27.0000000000,0.0688070869,-2.8599187227
28.0000000000,0.0508651262,-3.0155761069
29.0000000000,0.0621146862,2.0811899760
30.0000000000,0.0611576845,-0.1645307033
31.0000000000,0.0644861467,2.1164772179
32.0000000000,0.0674130322,0.5024840373
33.0000000000,0.0650208381,-0.3939127575
34.0000000000,0.0591027769,-0.9853275536
35.0000000000,0.0553920854,0.3295615662
36.0000000000,0.0373500526,-3.0520646122
37.0000000000,0.0342585640,-0.5394079005
38.0000000000,0.0352707811,-1.4925191574
39.0000000000,0.0289480605,-1.0573919088
40.0000000000,0.0320866687,0.5875605381
41.0000000000,0.0256801521,-1.0980321109
42.0000000000,0.0427436020,3.1916277335
43.0000000000,0.0219366140,-0.3822437825
44.0000000000,0.0200984504,-0.3271252380
45.0000000000,0.0216861201,0.2667507698
46.0000000000,-0.0118630235,-1.6434143225
47.0000000000,0.0358515175,2.6654276806
48.0000000000,0.0265241605,-1.6574320525
49.0000000000,0.0112905814,-2.6503901927
50.0000000000,-0.0022096121,-1.3405952970
51.0000000000,0.0108172114,2.3755448746
52.0000000000,-0.0115620849,-3.9348038762
53.0000000000,-0.0014741219,1.7337045752
54.0000000000,0.0102391653,0.7904828882
55.0000000000,0.0075701039,-0.4608011653
56.0000000000,0.0060398817,-0.2664563119
57.0000000000,0.0023782584,-0.6183379689
58.0000000000,0.0112786669,2.8375344772
59.0000000000,0.0146415980,0.5748051165
60.0000000000,0.0254632186,1.8981396538
61.0000000000,0.0289407169,0.5809192052
62.0000000000,-0.0113188187,-2.0830845011
63.0000000000,-0.0084615102,-0.4870590806
64.0000000000,-0.0094550639,0.1868695222
65.0000000000,0.0149320586,0.9178620566
66.0000000000,0.0270212594,-0.4149872488
67.0000000000,0.0417460132,2.5805031591
68.0000000000,0.0516037375,1.8139259439
69.0000000000,0.0695686563,3.3019943133
70.0000000000,0.0615549282,2.2531224482
71.0000000000,0.0717126234,1.7003805861
72.0000000000,0.0782072030,1.1008689548
73.0000000000,0.0961445367,3.3840111467
74.0000000000,0.0988245471,-1.8619826621
75.0000000000,0.0750738403,-3.9756892514
76.0000000000,0.0632005018,-2.0636394427
77.0000000000,0.0399014540,-3.9502796883
78.0000000000,0.0627214155,2.7089131195
79.0000000000,0.0661525052,0.5911885905
80.0000000000,0.0548199013,-1.9150239765
81.0000000000,0.0588688558,0.7233691480
82.0000000000,0.0640125929,3.1342711627
83.0000000000,0.0815985587,3.1246017684
84.0000000000,0.0958255159,2.5311261322
85.0000000000,0.0988817751,-0.7276106305
86.0000000000,0.1090035481,1.9556451202
87.0000000000,0.0955867112,-2.2524496747
88.0000000000,0.0910502621,-0.7765020428
89.0000000000,0.0890458220,-1.7652550042
90.0000000000,0.1017424715,2.2190806960
91.0000000000,0.1073919221,1.0773568154
92.0000000000,0.1043042444,-0.5202240798
93.0000000000,0.1083440118,1.2774593057
94.0000000000,0.1152819853,1.1787541051
95.0000000000,0.1196909659,0.7824962292
96.0000000000,0.1133105884,-1.0910103418
97.0000000000,0.1269710474,3.8718146957
98.0000000000,0.1142582880,-2.0888506088
99.0000000000,0.0987459043,-2.5424247266
100.0000000000,0.0934153098,-2.6723112539
101.0000000000,0.1087028414,2.9211443856
102.0000000000,0.1094179580,0.1222720690
103.0000000000,0.0990806404,-1.7921528592
104.0000000000,0.0890348011,-1.3416914185
105.0000000000,0.0820896081,-1.1863692462
106.0000000000,0.0815669894,-0.0882256987
107.0000000000,0.0834379621,0.3442523949
108.0000000000,0.1005443221,3.3543193972
109.0000000000,0.0972471389,-0.7127415851
110.0000000000,0.0982950932,0.1794109823
111.0000000000,0.0910738512,-1.2953935334
112.0000000000,0.0775914071,-2.2356007200
113.0000000000,0.0440242123,-4.6045783456
114.0000000000,0.0579814542,2.5356715247
115.0000000000,0.0741196246,3.0711018084
116.0000000000,0.0652783462,-1.5076645569
117.0000000000,0.0690846823,-1.0777161154
118.0000000000,0.0556395746,-2.3323615079
119.0000000000,0.0483151099,-1.2400988506
120.0000000000,0.0469780693,-0.2374124350
121.0000000000,0.0596664378,2.8418483100
122.0000000000,0.0623423792,0.4628386853
123.0000000000,0.0696867310,1.3257777110
124.0000000000,0.0783762813,2.4986392507
125.0000000000,0.0657060944,-2.1646795311
126.0000000000,0.0636324302,-0.3612364159
127.0000000000,0.0776640511,2.4073243871
128.0000000000,0.0864642128,0.6716700288
129.0000000000,0.0762753096,-1.6652386007
130.0000000000,0.0729270902,-0.5942180033
131.0000000000,0.0780390770,0.9112770133
132.0000000000,0.0916162384,0.6056874276
133.0000000000,0.1013082808,1.6523581613
134.0000000000,0.0906825753,-1.8304134759
135.0000000000,0.0622969112,-3.0921059890
136.0000000000,0.0450478848,-2.8617975840
137.0000000000,0.0231266990,-3.6309205519
138.0000000000,0.0207312156,-0.4280194113
139.0000000000,0.0412782704,0.2630609805
140.0000000000,0.0273134321,-2.4425969781
141.0000000000,0.0242463928,-0.5304402816
142.0000000000,0.0056001988,-4.2527149547
143.0000000000,-0.0140475565,-0.1947186981
144.0000000000,-0.0159448868,-0.4020437550
145.0000000000,-0.0335141711,-3.5945174173
146.0000000000,-0.0481544667,-3.4558835610
147.0000000000,-0.0581011616,-1.8949195144
148.0000000000,-0.0336473503,4.1295163665
149.0000000000,-0.0240522542,2.3932148539
150.0000000000,-0.0200570498,0.8368846456
151.0000000000,-0.0152183531,1.0283690432
152.0000000000,-0.0361119096,-1.5351482436
153.0000000000,-0.0392180922,-0.5902639780
154.0000000000,-0.0457269175,-1.3156920914
155.0000000000,-0.0397257648,1.8115024622
156.0000000000,-0.0432154071,-9.8456434315
157.0000000000,-0.0408371860,-210.0908263827
158.0000000000,-0.0338123431,-209.4255082508
159.0000000000,-0.0278568253,-209.4269449126
160.0000000000,-0.0312956801,-118.3041111316
161.0000000000,-0.0344294839,-151.3032233014
162.0000000000,-0.0317935488,1.2777635647
163.0000000000,-0.0319314303,-2.2545408717
164.0000000000,-0.0201451822,3.2488675577
165.0000000000,-0.0350081107,-3.4433288166
166.0000000000,-0.0437847595,-1.8607498208
167.0000000000,-0.0434813736,0.0585608369
168.0000000000,-0.0334785488,2.6274363760
169.0000000000,-0.0303294258,0.5607047901
170.0000000000,-0.0157352191,2.5398621146
171.0000000000,-0.0128583370,0.4674946858
172.0000000000,-0.0123139150,0.0950991442
173.0000000000,0.0043711896,2.8879630516
174.0000000000,0.0077079286,0.5764714911
175.0000000000,0.0251606381,3.2598516648
176.0000000000,0.0210914512,-0.7070458118
177.0000000000,0.0212370115,0.0269430862
178.0000000000,0.0292311987,1.3729249224
179.0000000000,0.0381234625,-0.2391085276
180.0000000000,0.0395062236,0.2409845419
181.0000000000,0.0371320891,-0.4235478778
182.0000000000,0.0308216956,-1.0866784249
183.0000000000,0.0439800881,3.0902578755
184.0000000000,0.0534569810,1.7255477844
185.0000000000,0.0646162578,2.0402959637
186.0000000000,0.0684869109,1.1549350963
187.0000000000,0.0835897046,2.5756802760
188.0000000000,0.0968913754,2.4103818573
189.0000000000,0.1173465442,2.3275723400
190.0000000000,0.1012720803,-2.7836627460
191.0000000000,0.0915740950,-1.6416602864
192.0000000000,0.0791882522,-1.1309759465
193.0000000000,0.0992250417,3.7765768837
194.0000000000,0.0900249861,-1.6273648168
195.0000000000,0.0923281396,-0.5988963936
196.0000000000,0.1134364738,4.0104472330
197.0000000000,0.1068130026,-1.1642450699
198.0000000000,0.0965991967,-1.5923513450
199.0000000000,0.0845113529,-2.0838236766
200.0000000000,0.0799599935,-0.8133814912
201.0000000000,0.0695871138,-1.8929843153
202.0000000000,0.0688841440,-0.6653103568
203.0000000000,0.0728976477,0.7134527151
204.0000000000,0.0833135626,1.7925206475
205.0000000000,0.0744539134,-1.5501003950
206.0000000000,0.0694438684,1.5592531965
207.0000000000,0.0674074199,-0.3669659261
208.0000000000,0.0563600614,-1.8869902978
209.0000000000,0.0467269577,-5.3399539060
210.0000000000,0.0546464244,1.4994995478
211.0000000000,0.0354887165,-3.2680067322
212.0000000000,0.0300658752,-0.9490665202
213.0000000000,0.0264156273,0.9295292161
214.0000000000,0.0541229907,5.6216650214
215.0000000000,0.0512087866,-0.4862217461
216.0000000000,0.0718198728,3.5923611910
217.0000000000,0.0686221483,-0.5408294343
218.0000000000,0.0666644388,-0.2375993501
219.0000000000,0.0754020909,1.5974483835
220.0000000000,0.0906431113,2.7939414062
221.0000000000,0.0912533082,-0.9438957839
222.0000000000,0.0850530540,-1.0807212421
223.0000000000,0.0707805957,-2.5668455795
224.0000000000,0.0829367088,1.1968865711
225.0000000000,0.0667882462,-2.7248315579
226.0000000000,0.0716814671,1.0137244619
227.0000000000,0.0705685318,-0.1334395398
228.0000000000,0.0846676007,2.5828271291
229.0000000000,0.0867781038,0.3600111182
230.0000000000,0.0712561764,-1.6258997721
231.0000000000,0.0573901252,-2.3419017028
232.0000000000,0.0631105942,0.9894698622
233.0000000000,0.0593653048,-1.0704450700
234.0000000000,0.0814567478,4.4300528489
235.0000000000,0.0737730681,-1.3259989445
236.0000000000,0.0769021790,0.3302916282
237.0000000000,0.0690886800,-1.3787774295
238.0000000000,0.0746897210,1.0031922500
239.0000000000,0.0724960987,-0.2880729728
240.0000000000,0.0721888549,-0.0535195109
241.0000000000,0.0975280320,5.0755239882
242.0000000000,0.0900922701,-0.6421073877
243.0000000000,0.0734357953,-2.9144999636
244.0000000000,0.0841765288,2.1237512603
245.0000000000,0.0798219591,-1.6795019619
246.0000000000,0.0758534002,-0.6789710885
247.0000000000,0.0575961640,-3.1830710551
248.0000000000,0.0550068261,-0.4131156074
249.0000000000,0.0962476438,8.6708219288
250.0000000000,0.0856982883,-1.8156036004
251.0000000000,0.0796058910,-0.9907182959
252.0000000000,0.0679583347,-2.0609166614
253.0000000000,0.0659411065,-0.3639602456
254.0000000000,0.0637908781,-1.2824511827
255.0000000000,0.0697184216,1.0607390721
256.0000000000,0.0440057703,-4.4470719904
257.0000000000,0.0250916534,-3.1920283030
258.0000000000,0.0248015536,-0.8342869639
259.0000000000,0.0267029910,0.3454779028
260.0000000000,0.0552168564,5.6346707313
261.0000000000,0.0391946152,-1.1922438394
262.0000000000,0.0321850948,-1.2104335695
263.0000000000,0.0375346337,0.9385272111
264.0000000000,0.0396636439,-0.7048914095
265.0000000000,0.0587901743,3.5157483101
266.0000000000,0.0720875513,2.4394364601
