Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
0.0000000000,59.6617032928,10.6763882550,6614929.4930171389,594451.4374309888
0.0061929226,59.6617033135,10.6763882850,6614929.4953608252,594451.4390628983
0.3875000477,59.6617032963,10.6763882483,6614929.4933973383,594451.4370455833
1.4136121273,59.6617033162,10.6763883283,6614929.4957193900,594451.4414965539
2.6634681225,59.6617032995,10.6763883217,6614929.4938542582,594451.4411678633
3.3855736256,59.6617033247,10.6763883867,6614929.4967487734,594451.4447588199
4.3860011101,59.6617032825,10.6763882750,6614929.4918950973,594451.4385867362
4.3860011101,59.6617032582,10.6763882833,6614929.4891977161,594451.4391246217
5.3853225708,59.6617033308,10.6763882950,6614929.4973049229,594451.4395774952
6.4682023525,59.6617033063,10.6763882783,6614929.4945534123,594451.4387074907
7.4114997387,59.6617032905,10.6763882850,6614929.4928000374,594451.4391275813
8.4105377197,59.6617033075,10.6763883333,6614929.4947615676,594451.4418025990
9.3833451271,59.6617033888,10.6763884850,6614929.5040329238,594451.4501179083
10.3832035065,59.6617032953,10.6763883483,6614929.4934282936,594451.4426818306
11.6860947609,59.6617033197,10.6763883483,6614929.4961375333,594451.4426133980
12.3741097450,59.6617033322,10.6763883833,6614929.4975790698,594451.4445499465
13.4622201920,59.6617021280,10.6763857500,6614929.3597617112,594451.2995892999
14.4212620258,59.6617007887,10.6763824917,6614929.2060057493,594451.1197997994
15.4214470387,59.6616994487,10.6763793283,6614929.0523107490,594450.9453639227
16.4201436043,59.6616978807,10.6763756817,6614928.8725427948,594450.7443409583
17.3768184185,59.6616958972,10.6763711433,6614928.6452448703,594450.4942550010
18.4074568748,59.6616943252,10.6763668300,6614928.4640829675,594450.2556869979
19.3919641972,59.6616925140,10.6763621050,6614928.2557068206,594449.9946005887
19.3919641972,59.6616905468,10.6763573000,6614928.0298480308,594449.7294461114
20.3785624504,59.6616886303,10.6763525717,6614927.8097395087,594449.4684680840
21.4324553013,59.6616865863,10.6763476300,6614927.5751317767,594449.1958305847
22.4041187763,59.6616847513,10.6763431600,6614927.3644649740,594448.9491763462
