Img_Time(Sec),GPS_Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
0.00000,0.00000,59.6617032928,10.6763882550,6614929.493,594451.437
0.00179,0.00000,59.6617032928,10.6763882550,6614929.493,594451.437
0.01313,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.03462,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.03543,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.03933,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.04122,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.05675,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.05722,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.05992,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.06359,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.06841,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.11136,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.11814,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.12043,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.12117,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.12208,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.12849,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.17269,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.18703,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.19524,0.00619,59.6617033135,10.6763882850,6614929.495,594451.439
0.20111,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.20485,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.22332,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.22459,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.22578,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.22620,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.22772,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.23634,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.24328,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.24703,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.27146,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.27224,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.27246,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.27677,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.27736,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.28293,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.28387,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.28409,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.28432,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.28498,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.28564,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.28597,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.28708,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.28817,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.29032,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.29125,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.29229,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.29282,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.29411,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.29755,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.29924,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.30027,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.30578,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.31206,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.31231,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.31293,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.31310,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.31324,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.31344,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.31369,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.31389,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.31406,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.31425,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.33455,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.46204,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.62974,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.81746,0.38750,59.6617032963,10.6763882483,6614929.493,594451.437
0.96791,1.41361,59.6617033162,10.6763883283,6614929.496,594451.441
1.14822,1.41361,59.6617033162,10.6763883283,6614929.496,594451.441
1.30833,1.41361,59.6617033162,10.6763883283,6614929.496,594451.441
1.46451,1.41361,59.6617033162,10.6763883283,6614929.496,594451.441
