Time(Sec),Roll(rad),Pitch(rad),Yaw(rad),A_x(m/s2),A_y(m/s2),A_z(m/s2)
0.000000,-0.044231,0.080858,-3.014588,-0.603764,-0.472612,9.652687
0.000049,-0.044224,0.080868,-3.014658,-0.806583,-0.492720,9.826651
0.000148,-0.044209,0.080876,-3.014684,-0.742615,-0.471649,9.592675
0.000151,-0.044211,0.080837,-3.014676,-0.667598,-0.478472,9.812887
0.000191,-0.044209,0.080856,-3.014725,-0.819766,-0.487483,9.640903
0.000345,-0.044210,0.080873,-3.014784,-0.628300,-0.477922,9.758252
0.000386,-0.044214,0.080883,-3.014845,-0.832340,-0.486960,9.695917
0.000389,-0.044232,0.080859,-3.014861,-0.624885,-0.475660,9.715171
0.000499,-0.044230,0.080866,-3.014870,-0.829163,-0.491081,9.772810
0.000504,-0.044214,0.080838,-3.014881,-0.639246,-0.481973,9.633489
0.000583,-0.044180,0.080868,-3.014900,-0.801217,-0.478114,9.812871
0.001969,-0.044188,0.080855,-3.014911,-0.673924,-0.499550,9.613703
0.001973,-0.044179,0.080857,-3.014941,-0.724885,-0.474346,9.804972
0.001978,-0.044154,0.080895,-3.014967,-0.767713,-0.513655,9.651893
0.001982,-0.044170,0.080868,-3.014984,-0.670135,-0.473996,9.749516
0.001986,-0.044193,0.080853,-3.015017,-0.795568,-0.506702,9.702171
0.002549,-0.044211,0.080857,-3.015068,-0.691606,-0.483274,9.722722
0.002556,-0.044167,0.080872,-3.015093,-0.783340,-0.494082,9.727365
0.002610,-0.044154,0.080848,-3.015078,-0.684518,-0.482857,9.700666
0.002684,-0.044185,0.080857,-3.015111,-0.795531,-0.455106,9.749920
0.002803,-0.044148,0.080863,-3.015130,-0.665643,-0.509767,9.662144
0.002807,-0.044151,0.080874,-3.015139,-0.798968,-0.445398,9.767877
0.002810,-0.044160,0.080854,-3.015169,-0.710112,-0.505696,9.644206
0.002908,-0.044202,0.080841,-3.015227,-0.723031,-0.456287,9.770884
0.002914,-0.044225,0.080829,-3.015242,-0.766434,-0.502047,9.689525
0.003007,-0.044241,0.080848,-3.015291,-0.644866,-0.478113,9.740498
0.003075,-0.044236,0.080838,-3.015324,-0.802877,-0.494248,9.706233
0.003079,-0.044204,0.080822,-3.015349,-0.634768,-0.483763,9.716278
0.003313,-0.044200,0.080811,-3.015395,-0.815722,-0.473007,9.731622
0.003328,-0.044215,0.080782,-3.015408,-0.655074,-0.499565,9.680213
0.003373,-0.044198,0.080775,-3.015458,-0.795411,-0.461393,9.761057
0.007498,-0.044192,0.080774,-3.015465,-0.703983,-0.500101,9.669789
0.007522,-0.044174,0.080795,-3.015473,-0.752447,-0.452960,9.772057
0.007543,-0.044186,0.080788,-3.015492,-0.737605,-0.506064,9.642248
0.007596,-0.044136,0.080783,-3.015523,-0.704237,-0.467364,9.781080
0.007742,-0.044128,0.080803,-3.015566,-0.801758,-0.505501,9.677540
0.007746,-0.044148,0.080815,-3.015606,-0.634033,-0.469596,9.730824
0.007780,-0.044134,0.080812,-3.015647,-0.872665,-0.470455,9.724311
0.007846,-0.044121,0.080801,-3.015679,-0.624712,-0.480811,9.687439
0.008367,-0.044113,0.080833,-3.015689,-0.826651,-0.485453,9.761563
0.008374,-0.044089,0.080826,-3.015691,-0.657241,-0.479963,9.651205
0.008388,-0.044076,0.080849,-3.015713,-0.772245,-0.476592,9.812524
0.008392,-0.044074,0.080867,-3.015704,-0.690044,-0.505966,9.629742
0.008395,-0.044082,0.080886,-3.015722,-0.713861,-0.479100,9.807526
0.008400,-0.044092,0.080899,-3.015749,-0.787759,-0.493486,9.632746
0.008404,-0.044070,0.080908,-3.015784,-0.652972,-0.467182,9.775821
0.008419,-0.044086,0.080910,-3.015830,-0.833628,-0.481568,9.673449
0.009090,-0.044084,0.080893,-3.015841,-0.626167,-0.471075,9.730240
0.009097,-0.044019,0.080918,-3.015847,-0.842818,-0.470045,9.733640
0.009103,-0.044053,0.080912,-3.015883,-0.615665,-0.485456,9.679847
0.009106,-0.044051,0.080900,-3.015938,-0.803455,-0.478479,9.772923
0.009116,-0.044044,0.080898,-3.015958,-0.676673,-0.492297,9.661345
0.009206,-0.044012,0.080891,-3.015982,-0.790056,-0.469120,9.775325
0.010972,-0.043998,0.080897,-3.016009,-0.688986,-0.496346,9.644090
0.010986,-0.043988,0.080902,-3.016050,-0.748160,-0.466281,9.797309
0.011114,-0.044018,0.080902,-3.016039,-0.755202,-0.503340,9.644149
0.015407,-0.044005,0.080886,-3.016057,-0.656294,-0.483801,9.783708
0.015412,-0.043981,0.080880,-3.016093,-0.819198,-0.489923,9.677252
0.015415,-0.043994,0.080883,-3.016095,-0.617996,-0.488434,9.711470
0.015501,-0.043987,0.080875,-3.016143,-0.853056,-0.494302,9.731528
0.015662,-0.043989,0.080879,-3.016155,-0.629413,-0.473784,9.662782
0.016023,-0.043954,0.080896,-3.016201,-0.788592,-0.496128,9.806056
0.016027,-0.043950,0.080897,-3.016213,-0.692348,-0.462324,9.616234
0.016032,-0.043955,0.080872,-3.016245,-0.751453,-0.499642,9.812506
0.016039,-0.043931,0.080875,-3.016263,-0.731324,-0.477325,9.618536
0.016047,-0.043935,0.080849,-3.016260,-0.672624,-0.490661,9.817148
0.016051,-0.043967,0.080878,-3.016288,-0.803232,-0.489863,9.641878
0.016668,-0.044002,0.080868,-3.016315,-0.648616,-0.476845,9.772943
0.016674,-0.043996,0.080898,-3.016331,-0.804150,-0.511151,9.717970
0.016680,-0.043991,0.080887,-3.016367,-0.665849,-0.450589,9.685619
0.016780,-0.043980,0.080880,-3.016399,-0.807339,-0.514011,9.750692
0.017615,-0.043969,0.080868,-3.016387,-0.661264,-0.458011,9.655964
0.017618,-0.043979,0.080870,-3.016392,-0.785026,-0.512926,9.807543
0.017621,-0.043989,0.080883,-3.016410,-0.681199,-0.458900,9.610557
0.017624,-0.043966,0.080891,-3.016430,-0.751910,-0.512010,9.822796
0.017627,-0.043966,0.080881,-3.016455,-0.739668,-0.475882,9.623099
0.017629,-0.043965,0.080870,-3.016461,-0.664750,-0.488298,9.770802
0.017632,-0.043977,0.080902,-3.016466,-0.810463,-0.501874,9.670151
0.017634,-0.044006,0.080890,-3.016472,-0.674320,-0.472276,9.717524
0.017637,-0.044000,0.080907,-3.016494,-0.738798,-0.505001,9.761356
0.017639,-0.043994,0.080892,-3.016520,-0.723426,-0.448827,9.662868
0.017647,-0.044011,0.080903,-3.016577,-0.737412,-0.526605,9.794710
0.017649,-0.044008,0.080915,-3.016596,-0.712813,-0.435567,9.634233
0.017651,-0.043977,0.080910,-3.016644,-0.727298,-0.519618,9.796044
0.017653,-0.043984,0.080908,-3.016663,-0.764299,-0.463217,9.646814
0.017655,-0.043976,0.080891,-3.016678,-0.670438,-0.501455,9.767453
0.017658,-0.043966,0.080917,-3.016688,-0.816668,-0.484665,9.693876
0.017661,-0.043982,0.080897,-3.016729,-0.664938,-0.472312,9.701731
0.017663,-0.044015,0.080900,-3.016735,-0.793125,-0.503019,9.760559
0.017665,-0.044046,0.080882,-3.016785,-0.671833,-0.456210,9.658108
0.017667,-0.044020,0.080902,-3.016797,-0.779004,-0.499163,9.792310
0.017670,-0.044002,0.080908,-3.016832,-0.664537,-0.462919,9.621219
0.017672,-0.043956,0.080937,-3.016850,-0.776386,-0.500216,9.800525
0.017674,-0.043943,0.080946,-3.016863,-0.723852,-0.472248,9.623347
0.017676,-0.043981,0.080964,-3.016894,-0.709197,-0.482510,9.807886
0.017678,-0.043967,0.080969,-3.016914,-0.782024,-0.480383,9.658788
0.017681,-0.043965,0.080973,-3.016932,-0.663570,-0.486841,9.763918
0.017683,-0.043955,0.080961,-3.016949,-0.794880,-0.483266,9.686668
0.017685,-0.043971,0.080929,-3.016949,-0.652886,-0.505377,9.711843
0.017687,-0.043948,0.080915,-3.016985,-0.787458,-0.459597,9.736081
0.022488,-0.043954,0.080907,-3.016970,-0.686985,-0.501782,9.687056
0.022517,-0.043943,0.080914,-3.016997,-0.787897,-0.455062,9.767319
0.039687,-0.043944,0.080900,-3.016995,-0.696590,-0.501879,9.680182
0.039693,-0.043951,0.080885,-3.017013,-0.742162,-0.456443,9.761103
0.089923,-0.043963,0.080863,-3.017009,-0.730550,-0.518166,9.689483
0.091104,-0.043960,0.080873,-3.017048,-0.703653,-0.455195,9.741344
0.091341,-0.043959,0.080863,-3.017050,-0.748765,-0.504785,9.713687
0.091518,-0.043955,0.080841,-3.017061,-0.722148,-0.464843,9.700213
0.091708,-0.043931,0.080839,-3.017072,-0.731227,-0.498604,9.736612
0.091712,-0.043897,0.080825,-3.017088,-0.741863,-0.466173,9.707791
0.179730,-0.043883,0.080824,-3.017087,-0.740200,-0.472610,9.741349
0.179740,-0.043902,0.080822,-3.017102,-0.733191,-0.485470,9.713266
0.179745,-0.043871,0.080809,-3.017133,-0.724524,-0.453002,9.708626
0.180309,-0.043868,0.080803,-3.017157,-0.724322,-0.516155,9.700109
0.180576,-0.043887,0.080797,-3.017190,-0.749408,-0.445119,9.703730
0.198845,-0.043927,0.080805,-3.017170,-0.750241,-0.495708,9.718949
0.198857,-0.043931,0.080796,-3.017189,-0.716965,-0.483788,9.717637
0.198869,-0.043922,0.080774,-3.017217,-0.745753,-0.492830,9.747082
0.217026,-0.043904,0.080798,-3.017210,-0.686769,-0.474040,9.691199
0.217036,-0.043869,0.080807,-3.017223,-0.776838,-0.483131,9.747021
0.217041,-0.043847,0.080831,-3.017207,-0.713035,-0.490097,9.702695
0.217063,-0.043865,0.080823,-3.017243,-0.724029,-0.468479,9.743049
0.221934,-0.043883,0.080830,-3.017235,-0.751072,-0.505991,9.700634
0.221939,-0.043909,0.080814,-3.017236,-0.709939,-0.458903,9.724212
0.257851,-0.043870,0.080797,-3.017261,-0.756130,-0.504273,9.721531
0.261952,-0.043911,0.080794,-3.017275,-0.701849,-0.460171,9.695240
0.261974,-0.043911,0.080801,-3.017289,-0.767143,-0.502022,9.756599
0.275593,-0.043912,0.080801,-3.017281,-0.705403,-0.468532,9.684057
0.328353,-0.043922,0.080805,-3.017346,-0.752301,-0.477514,9.759691
0.328359,-0.043919,0.080793,-3.017367,-0.731091,-0.494501,9.693640
0.341713,-0.043912,0.080809,-3.017397,-0.728265,-0.474671,9.749329
0.341729,-0.043891,0.080815,-3.017416,-0.769160,-0.498026,9.698318
0.341735,-0.043883,0.080794,-3.017438,-0.704421,-0.478781,9.722586
0.341739,-0.043851,0.080786,-3.017442,-0.772410,-0.481878,9.721565
0.341743,-0.043868,0.080758,-3.017462,-0.705393,-0.467979,9.701560
0.371774,-0.043875,0.080750,-3.017503,-0.767976,-0.485268,9.746785
0.395029,-0.043872,0.080736,-3.017490,-0.715732,-0.473269,9.688046
0.395063,-0.043889,0.080731,-3.017505,-0.744625,-0.469498,9.766060
0.395134,-0.043878,0.080743,-3.017525,-0.735309,-0.478305,9.683208
0.435025,-0.043889,0.080753,-3.017562,-0.721229,-0.476757,9.747294
0.435122,-0.043894,0.080760,-3.017606,-0.744213,-0.496793,9.697970
0.435147,-0.043875,0.080730,-3.017618,-0.712940,-0.469986,9.734873
0.448263,-0.043884,0.080706,-3.017639,-0.763199,-0.485906,9.706259
0.448272,-0.043870,0.080710,-3.017647,-0.705880,-0.474054,9.711586
0.448279,-0.043884,0.080708,-3.017657,-0.750972,-0.479562,9.740500
0.448288,-0.043897,0.080703,-3.017647,-0.713459,-0.465034,9.689227
0.489069,-0.043904,0.080700,-3.017631,-0.729240,-0.475309,9.727251
0.501542,-0.043904,0.080696,-3.017659,-0.746370,-0.501461,9.692436
0.501551,-0.043900,0.080675,-3.017695,-0.704448,-0.478949,9.728260
0.501558,-0.043911,0.080669,-3.017724,-0.759703,-0.491539,9.702531
0.501566,-0.043860,0.080663,-3.017727,-0.697641,-0.476247,9.713781
0.554935,-0.043848,0.080652,-3.017752,-0.755233,-0.494542,9.728374
0.555333,-0.043869,0.080671,-3.017778,-0.731496,-0.477378,9.694414
0.555343,-0.043859,0.080676,-3.017789,-0.728099,-0.487516,9.747074
0.555351,-0.043848,0.080679,-3.017797,-0.737090,-0.491634,9.668286
0.555359,-0.043880,0.080672,-3.017771,-0.723944,-0.482165,9.738981
0.594001,-0.043870,0.080670,-3.017778,-0.752173,-0.487909,9.710248
0.594024,-0.043841,0.080667,-3.017819,-0.709144,-0.468567,9.718455
0.608475,-0.043844,0.080644,-3.017827,-0.758902,-0.492399,9.716296
0.630217,-0.043838,0.080658,-3.017840,-0.704718,-0.476155,9.700359
0.630227,-0.043836,0.080657,-3.017833,-0.754095,-0.493914,9.744174
0.630243,-0.043829,0.080640,-3.017822,-0.731155,-0.489112,9.694710
0.630292,-0.043809,0.080638,-3.017820,-0.712508,-0.483641,9.740684
0.688401,-0.043780,0.080620,-3.017862,-0.750619,-0.499383,9.726231
0.688419,-0.043779,0.080625,-3.017904,-0.699284,-0.483444,9.702322
0.688439,-0.043717,0.080604,-3.017918,-0.743456,-0.485728,9.740556
0.812119,-0.043769,0.080632,-3.017978,-0.696659,-0.477189,9.718095
0.812126,-0.043781,0.080642,-3.017981,-0.751715,-0.496722,9.741886
0.812134,-0.043786,0.080626,-3.018006,-0.719975,-0.480211,9.697586
0.812143,-0.043807,0.080631,-3.018041,-0.724080,-0.477245,9.744151
0.812152,-0.043824,0.080622,-3.018057,-0.758826,-0.496223,9.684674
0.812156,-0.043824,0.080618,-3.018065,-0.708508,-0.471655,9.724366
0.812162,-0.043809,0.080604,-3.018088,-0.771135,-0.487857,9.724350
0.848144,-0.043837,0.080606,-3.018100,-0.705087,-0.479958,9.705315
0.848163,-0.043827,0.080597,-3.018118,-0.729534,-0.486915,9.738271
0.848172,-0.043813,0.080588,-3.018134,-0.741915,-0.498331,9.698467
0.848179,-0.043815,0.080596,-3.018146,-0.692306,-0.487449,9.726713
0.848400,-0.043774,0.080587,-3.018161,-0.759099,-0.488115,9.717984
0.888192,-0.043775,0.080565,-3.018169,-0.704733,-0.485862,9.711148
0.888202,-0.043791,0.080555,-3.018177,-0.739797,-0.472119,9.741226
0.888206,-0.043796,0.080577,-3.018211,-0.748884,-0.473358,9.718645
0.888210,-0.043822,0.080586,-3.018198,-0.719037,-0.479704,9.722440
0.901678,-0.043832,0.080594,-3.018212,-0.738626,-0.492118,9.720766
0.901684,-0.043867,0.080581,-3.018235,-0.734477,-0.487099,9.717135
0.901690,-0.043879,0.080582,-3.018263,-0.729825,-0.479131,9.716634
0.901695,-0.043855,0.080591,-3.018283,-0.733627,-0.486761,9.720525
0.955581,-0.043853,0.080572,-3.018291,-0.738209,-0.472171,9.719876
0.955585,-0.043840,0.080576,-3.018318,-0.756189,-0.463230,9.713548
0.955590,-0.043777,0.080561,-3.018332,-0.738248,-0.469704,9.722060
0.955593,-0.043750,0.080562,-3.018338,-0.738612,-0.480957,9.717839
0.955613,-0.043752,0.080568,-3.018355,-0.731983,-0.478699,9.719053
0.955631,-0.043745,0.080580,-3.018379,-0.721159,-0.484372,9.731627
0.982852,-0.043701,0.080576,-3.018382,-0.725889,-0.491298,9.707399
0.996584,-0.043700,0.080595,-3.018370,-0.729868,-0.481862,9.720631
0.996590,-0.043686,0.080579,-3.018417,-0.735762,-0.475229,9.708787
1.047962,-0.043656,0.080579,-3.018462,-0.725679,-0.485545,9.714131
1.047975,-0.043645,0.080569,-3.018478,-0.730762,-0.475704,9.716151
1.048268,-0.043661,0.080545,-3.018482,-0.728570,-0.481278,9.720517
1.048273,-0.043646,0.080526,-3.018503,-0.730617,-0.485200,9.709304
1.048281,-0.043627,0.080515,-3.018511,-0.722648,-0.488385,9.711254
1.048292,-0.043664,0.080499,-3.018521,-0.736666,-0.484504,9.721349
1.061095,-0.043658,0.080508,-3.018519,-0.722030,-0.494346,9.706084
1.087859,-0.043643,0.080524,-3.018519,-0.745592,-0.490333,9.717740
1.135402,-0.043630,0.080532,-3.018517,-0.740522,-0.475462,9.719886
1.135408,-0.043636,0.080505,-3.018541,-0.735280,-0.472170,9.719520
1.135413,-0.043628,0.080480,-3.018540,-0.732852,-0.491037,9.728512
1.141871,-0.043620,0.080484,-3.018565,-0.738988,-0.474864,9.719642
1.141882,-0.043609,0.080474,-3.018579,-0.731774,-0.484435,9.717626
1.141888,-0.043602,0.080469,-3.018607,-0.722301,-0.483057,9.718832
1.141893,-0.043573,0.080468,-3.018624,-0.738305,-0.489069,9.706771
1.141900,-0.043590,0.080472,-3.018653,-0.723051,-0.490134,9.707386
1.196589,-0.043587,0.080469,-3.018636,-0.732466,-0.483183,9.711219
1.208106,-0.043563,0.080458,-3.018649,-0.730817,-0.483582,9.728007
1.208138,-0.043569,0.080445,-3.018681,-0.723639,-0.485195,9.714617
1.208145,-0.043580,0.080439,-3.018728,-0.728358,-0.486288,9.742488
1.208150,-0.043530,0.080439,-3.018702,-0.738505,-0.483658,9.706884
1.208155,-0.043553,0.080438,-3.018701,-0.738337,-0.485373,9.718459
1.288339,-0.043550,0.080431,-3.018740,-0.740531,-0.485202,9.713383
1.305728,-0.043556,0.080427,-3.018767,-0.702579,-0.487438,9.739026
1.306001,-0.043576,0.080466,-3.018755,-0.739181,-0.501564,9.678548
1.306008,-0.043607,0.080473,-3.018767,-0.739804,-0.485423,9.726662
1.306012,-0.043585,0.080479,-3.018792,-0.739093,-0.480003,9.693112
1.326056,-0.043601,0.080461,-3.018782,-0.736837,-0.477796,9.731229
1.326065,-0.043600,0.080467,-3.018809,-0.700788,-0.483171,9.731284
1.326077,-0.043552,0.080485,-3.018810,-0.751845,-0.487865,9.719901
1.326081,-0.043501,0.080481,-3.018843,-0.723911,-0.468940,9.730144
1.354826,-0.043499,0.080498,-3.018856,-0.720944,-0.495153,9.711746
1.354831,-0.043510,0.080515,-3.018878,-0.732250,-0.478386,9.714220
1.354836,-0.043515,0.080523,-3.018890,-0.729688,-0.472153,9.721809
1.381578,-0.043529,0.080538,-3.018905,-0.741038,-0.485348,9.716404
1.381588,-0.043536,0.080534,-3.018921,-0.741866,-0.489337,9.729217
1.381593,-0.043544,0.080545,-3.018931,-0.718706,-0.483645,9.727637
1.381597,-0.043497,0.080536,-3.018940,-0.734224,-0.483284,9.712562
1.421065,-0.043514,0.080540,-3.018943,-0.723256,-0.478646,9.718935
1.421071,-0.043537,0.080532,-3.018970,-0.736703,-0.480117,9.721220
1.461012,-0.043516,0.080529,-3.018999,-0.751915,-0.477598,9.710348
1.461015,-0.043494,0.080537,-3.019021,-0.741286,-0.475556,9.703100
1.461018,-0.043498,0.080543,-3.019039,-0.727659,-0.490996,9.735984
1.461032,-0.043513,0.080565,-3.019050,-0.749749,-0.494648,9.703871
1.488252,-0.043511,0.080551,-3.019050,-0.715131,-0.494236,9.727685
1.488256,-0.043517,0.080534,-3.019043,-0.729467,-0.484904,9.703266
1.488260,-0.043484,0.080532,-3.019037,-0.729214,-0.475515,9.725449
1.488263,-0.043493,0.080528,-3.019067,-0.726051,-0.484384,9.719318
1.515797,-0.043478,0.080530,-3.019073,-0.727822,-0.485442,9.718958
1.515824,-0.043484,0.080540,-3.019089,-0.733276,-0.482481,9.714350
1.515832,-0.043457,0.080539,-3.019120,-0.735928,-0.473874,9.720489
1.515839,-0.043431,0.080532,-3.019132,-0.724536,-0.476694,9.710126
1.556246,-0.043412,0.080553,-3.019142,-0.726307,-0.483377,9.709902
1.556249,-0.043410,0.080552,-3.019169,-0.731240,-0.481901,9.719309
1.595483,-0.043378,0.080517,-3.019206,-0.734791,-0.473814,9.709279
1.595498,-0.043368,0.080512,-3.019206,-0.739650,-0.475501,9.722902
1.595505,-0.043363,0.080515,-3.019186,-0.723098,-0.483701,9.708214
1.595547,-0.043327,0.080499,-3.019213,-0.747690,-0.467611,9.718898
1.635514,-0.043338,0.080501,-3.019224,-0.739806,-0.492694,9.724513
1.635557,-0.043309,0.080494,-3.019246,-0.742268,-0.475646,9.711315
1.635628,-0.043255,0.080491,-3.019276,-0.713040,-0.481638,9.718126
1.635640,-0.043255,0.080499,-3.019284,-0.729879,-0.486455,9.722455
