Img_Time(Sec),IMU_Time(Sec),Roll(rad),Pitch(rad),Yaw(rad)
0.00000,0.00000,-0.04423,0.08086,-3.01459
0.00179,0.00197,-0.04419,0.08086,-3.01491
0.01313,0.01111,-0.04402,0.08090,-3.01604
0.03462,0.03969,-0.04394,0.08090,-3.01699
0.03543,0.03969,-0.04394,0.08090,-3.01699
0.03933,0.03969,-0.04394,0.08090,-3.01699
0.04122,0.03969,-0.04395,0.08088,-3.01701
0.05675,0.03969,-0.04395,0.08088,-3.01701
0.05722,0.03969,-0.04395,0.08088,-3.01701
0.05992,0.03969,-0.04395,0.08088,-3.01701
0.06359,0.03969,-0.04395,0.08088,-3.01701
0.06841,0.08992,-0.04396,0.08086,-3.01701
0.11136,0.09171,-0.04390,0.08083,-3.01709
0.11814,0.09171,-0.04390,0.08083,-3.01709
0.12043,0.09171,-0.04390,0.08083,-3.01709
0.12117,0.09171,-0.04390,0.08083,-3.01709
0.12208,0.09171,-0.04390,0.08083,-3.01709
0.12849,0.09171,-0.04390,0.08083,-3.01709
0.17269,0.17973,-0.04388,0.08082,-3.01709
0.18703,0.18058,-0.04389,0.08080,-3.01719
0.19524,0.19884,-0.04393,0.08080,-3.01717
0.20111,0.19887,-0.04392,0.08077,-3.01722
0.20485,0.19887,-0.04392,0.08077,-3.01722
0.22332,0.22194,-0.04391,0.08081,-3.01724
0.22459,0.22194,-0.04391,0.08081,-3.01724
0.22578,0.22194,-0.04391,0.08081,-3.01724
0.22620,0.22194,-0.04391,0.08081,-3.01724
0.22772,0.22194,-0.04391,0.08081,-3.01724
0.23634,0.22194,-0.04391,0.08081,-3.01724
0.24328,0.25785,-0.04387,0.08080,-3.01726
0.24703,0.25785,-0.04387,0.08080,-3.01726
0.27146,0.27559,-0.04391,0.08080,-3.01728
0.27224,0.27559,-0.04391,0.08080,-3.01728
0.27246,0.27559,-0.04391,0.08080,-3.01728
0.27677,0.27559,-0.04391,0.08080,-3.01728
0.27736,0.27559,-0.04391,0.08080,-3.01728
0.28293,0.27559,-0.04391,0.08080,-3.01728
0.28387,0.27559,-0.04391,0.08080,-3.01728
0.28409,0.27559,-0.04391,0.08080,-3.01728
0.28432,0.27559,-0.04391,0.08080,-3.01728
0.28498,0.27559,-0.04391,0.08080,-3.01728
0.28564,0.27559,-0.04391,0.08080,-3.01728
0.28597,0.27559,-0.04391,0.08080,-3.01728
0.28708,0.27559,-0.04391,0.08080,-3.01728
0.28817,0.27559,-0.04391,0.08080,-3.01728
0.29032,0.27559,-0.04391,0.08080,-3.01728
0.29125,0.27559,-0.04391,0.08080,-3.01728
0.29229,0.27559,-0.04391,0.08080,-3.01728
0.29282,0.27559,-0.04391,0.08080,-3.01728
0.29411,0.27559,-0.04391,0.08080,-3.01728
0.29755,0.27559,-0.04391,0.08080,-3.01728
0.29924,0.27559,-0.04391,0.08080,-3.01728
0.30027,0.27559,-0.04391,0.08080,-3.01728
0.30578,0.32835,-0.04392,0.08080,-3.01735
0.31206,0.32835,-0.04392,0.08080,-3.01735
0.31231,0.32835,-0.04392,0.08080,-3.01735
0.31293,0.32835,-0.04392,0.08080,-3.01735
0.31310,0.32835,-0.04392,0.08080,-3.01735
0.31324,0.32835,-0.04392,0.08080,-3.01735
0.31344,0.32835,-0.04392,0.08080,-3.01735
0.31369,0.32835,-0.04392,0.08080,-3.01735
0.31389,0.32835,-0.04392,0.08080,-3.01735
0.31406,0.32835,-0.04392,0.08080,-3.01735
0.31425,0.32835,-0.04392,0.08080,-3.01735
0.33455,0.32836,-0.04392,0.08079,-3.01737
0.46204,0.44829,-0.04390,0.08070,-3.01765
0.62974,0.63022,-0.04384,0.08066,-3.01784
0.81746,0.81216,-0.04381,0.08060,-3.01809
0.96791,0.95563,-0.04374,0.08058,-3.01838
1.14822,1.14190,-0.04359,0.08047,-3.01865
1.30833,1.30601,-0.04358,0.08048,-3.01879
1.46451,1.46103,-0.04351,0.08057,-3.01905
1.62814,1.63551,-0.04334,0.08050,-3.01922
1.81518,1.80854,-0.04325,0.08052,-3.01963
1.95940,1.95517,-0.04328,0.08053,-3.01981
2.14286,2.16741,-0.04324,0.08056,-3.02001
2.29623,2.30054,-0.04332,0.08042,-3.02045
2.47546,2.38079,-0.04337,0.08045,-3.02052
2.62714,2.67108,-0.04338,0.08041,-3.02056
2.79449,2.80693,-0.04322,0.08050,-3.02110
2.98603,2.99353,-0.04325,0.08052,-3.02131
3.13139,3.14014,-0.04325,0.08052,-3.02150
3.29301,3.30000,-0.04305,0.08050,-3.02168
3.46000,3.44672,-0.04305,0.08049,-3.02190
3.62746,3.63313,-0.04310,0.08063,-3.02230
3.79488,3.80677,-0.04318,0.08073,-3.02247
3.97858,3.96703,-0.04315,0.08094,-3.02273
4.12665,4.09979,-0.04298,0.08094,-3.02306
4.29351,4.28651,-0.04298,0.08090,-3.02338
4.45976,4.45940,-0.04299,0.08090,-3.02367
4.64106,4.64609,-0.04290,0.08094,-3.02389
4.80911,4.80687,-0.04272,0.08094,-3.02413
4.96068,4.93940,-0.04262,0.08102,-3.02430
4.96068,4.93943,-0.04256,0.08102,-3.02442
5.12236,5.12661,-0.04255,0.08104,-3.02458
5.28897,5.27281,-0.04238,0.08108,-3.02498
5.45815,5.45925,-0.04228,0.08101,-3.02533
5.62243,5.61931,-0.04228,0.08101,-3.02549
5.78898,5.79243,-0.04221,0.08110,-3.02574
5.98159,5.96563,-0.04225,0.08117,-3.02608
6.14215,6.18051,-0.04223,0.08110,-3.02647
6.29836,6.29883,-0.04219,0.08101,-3.02671
6.45498,6.45897,-0.04223,0.08097,-3.02725
6.62565,6.61912,-0.04223,0.08122,-3.02782
6.78932,6.79225,-0.04213,0.08119,-3.02810
6.97170,6.95230,-0.04227,0.08113,-3.02855
