Time(Sec),X(m),Y(m),theta(rad),V_x(m/s),V_y(m/s)
0.000000,4.795996,-77.407150,1.584987,0.002493,0.000003
0.000030,4.795995,-77.407026,1.584987,0.002495,0.000003
0.000728,4.795996,-77.407125,1.584987,-0.001995,-0.000002
0.000741,4.795997,-77.407200,1.584987,-0.001496,-0.000001
0.000826,4.795996,-77.407125,1.584987,0.001497,0.000002
0.002494,4.795994,-77.407001,1.584987,0.002494,0.000002
0.002759,4.795996,-77.407100,1.584987,-0.001996,-0.000002
0.003474,4.795997,-77.407159,1.584987,-0.001164,-0.000001
0.003500,4.795995,-77.407059,1.584987,0.001995,0.000001
0.003505,4.795993,-77.406884,1.584987,0.003492,0.000003
0.005057,4.795993,-77.406909,1.584987,-0.000499,-0.000000
0.005393,4.795993,-77.406934,1.584987,-0.000500,-0.000000
0.005406,4.795993,-77.406922,1.584987,0.000250,0.000000
0.005411,4.795993,-77.406909,1.584987,0.000250,0.000000
0.005439,4.795993,-77.406897,1.584987,0.000249,0.000000
0.005455,4.795993,-77.406884,1.584987,0.000249,0.000000
0.005482,4.795992,-77.406872,1.584987,0.000250,0.000000
0.005517,4.795992,-77.406859,1.584987,0.000250,0.000000
0.005532,4.795992,-77.406860,1.584987,-0.000001,-0.000000
0.005541,4.795992,-77.406860,1.584987,-0.000001,-0.000000
0.005570,4.795991,-77.406810,1.584987,0.000998,0.000001
0.005586,4.795991,-77.406760,1.584987,0.000998,0.000001
0.005595,4.795991,-77.406810,1.584987,-0.000998,-0.000001
0.005623,4.795992,-77.406859,1.584987,-0.000998,-0.000001
0.005639,4.795990,-77.406735,1.584987,0.002494,0.000001
0.005656,4.795990,-77.406703,1.584987,0.000623,0.000000
0.005666,4.795990,-77.406716,1.584987,-0.000250,-0.000000
0.006514,4.795990,-77.406728,1.584987,-0.000251,-0.000000
0.007199,4.795988,-77.406604,1.584987,0.002494,0.000001
0.014187,4.795988,-77.406572,1.584987,0.000623,0.000000
0.082555,4.795989,-77.406622,1.584987,-0.000998,-0.000001
0.171941,4.795989,-77.406672,1.584987,-0.000998,-0.000001
0.190513,4.795989,-77.406635,1.584987,0.000748,0.000001
0.213510,4.795988,-77.406597,1.584987,0.000748,0.000001
0.267463,4.795988,-77.406597,1.584987,0.000000,0.000000
0.320238,4.795988,-77.406597,1.584987,0.000000,0.000000
0.363405,4.795988,-77.406572,1.584987,0.000499,0.000000
0.426907,4.795988,-77.406548,1.584987,0.000499,0.000000
0.480727,4.795987,-77.406498,1.584987,0.000998,0.000001
0.546582,4.795986,-77.406448,1.584987,0.000998,0.000000
0.585671,4.795986,-77.406460,1.584987,-0.000250,-0.000000
0.621924,4.795987,-77.406473,1.584987,-0.000250,-0.000000
0.680055,4.795986,-77.406466,1.584987,0.000125,0.000000
0.719893,4.795986,-77.406460,1.584987,0.000125,0.000000
0.803801,4.795986,-77.406435,1.584987,0.000499,0.000000
0.840724,4.795983,-77.406248,1.584987,0.003742,0.000004
0.879865,4.795978,-77.405899,1.584987,0.006985,0.000006
0.947151,4.795973,-77.405549,1.584987,0.006983,0.000003
0.974485,4.795970,-77.405363,1.584987,0.003743,0.000005
1.039603,4.795970,-77.405356,1.584987,0.000125,0.000000
1.079637,4.795970,-77.405356,1.584987,0.000000,0.000000
1.127042,4.795970,-77.405356,1.584987,0.000000,0.000000
1.188227,4.795970,-77.405356,1.584987,0.000000,0.000000
1.279972,4.795970,-77.405356,1.584987,0.000000,0.000000
1.293049,4.795969,-77.405331,1.584987,0.000499,0.000000
1.346353,4.795969,-77.405325,1.584987,0.000125,0.000000
1.373228,4.795969,-77.405300,1.584987,0.000499,-0.000000
1.412903,4.795969,-77.405275,1.584987,0.000499,-0.000000
1.480191,4.795969,-77.405275,1.584987,0.000000,0.000000
1.547845,4.795969,-77.405275,1.584987,0.000000,0.000000
1.587195,4.795969,-77.405275,1.584987,0.000000,0.000000
1.627786,4.795969,-77.405275,1.584987,0.000000,0.000000
1.667134,4.795969,-77.405275,1.584987,0.000000,0.000000
1.733627,4.795969,-77.405275,1.584987,0.000000,0.000000
1.799771,4.795969,-77.405269,1.584987,0.000125,0.000000
1.825710,4.795968,-77.405263,1.584987,0.000125,0.000000
1.907251,4.795968,-77.405263,1.584987,0.000000,0.000000
1.946548,4.795968,-77.405263,1.584987,0.000000,0.000000
1.966352,4.795968,-77.405263,1.584987,0.000000,0.000000
2.025944,4.795968,-77.405263,1.584987,0.000000,0.000000
2.066209,4.795968,-77.405263,1.584987,0.000000,0.000000
2.172372,4.795968,-77.405263,1.584987,0.000000,0.000000
2.198973,4.795968,-77.405263,1.584987,0.000000,0.000000
2.225657,4.795968,-77.405263,1.584987,0.000000,0.000000
2.265584,4.795968,-77.405238,1.584987,0.000497,0.000002
2.332261,4.795968,-77.405213,1.584987,0.000497,0.000002
2.372413,4.795968,-77.405213,1.584987,0.000000,0.000000
2.662762,4.795968,-77.405213,1.584987,0.000000,0.000000
2.663733,4.795967,-77.405188,1.584987,0.000497,0.000002
2.663736,4.795967,-77.405182,1.584987,0.000125,0.000000
2.758721,4.795967,-77.405157,1.584987,0.000499,-0.000000
2.758731,4.795967,-77.405132,1.584987,0.000499,-0.000000
2.772485,4.795966,-77.405126,1.584987,0.000125,0.000000
2.772488,4.795966,-77.405101,1.584987,0.000499,0.000000
2.798686,4.795966,-77.405064,1.584987,0.000748,0.000001
2.879500,4.795965,-77.405026,1.584987,0.000748,0.000001
2.892378,4.795964,-77.404989,1.584987,0.000748,0.000000
2.932328,4.795964,-77.404951,1.584987,0.000748,0.000001
2.959798,4.795964,-77.404939,1.584987,0.000250,0.000000
3.025098,4.795963,-77.404927,1.584987,0.000250,0.000000
3.079040,4.795963,-77.404877,1.584987,0.000995,0.000004
3.131749,4.795962,-77.404827,1.584987,0.000995,0.000004
3.224957,4.795962,-77.404827,1.584987,-0.000000,-0.000000
3.238347,4.795962,-77.404827,1.584987,-0.000000,-0.000000
3.291931,4.795962,-77.404827,1.584987,-0.000000,-0.000000
3.318409,4.795962,-77.404827,1.584987,-0.000000,-0.000000
3.358358,4.795962,-77.404821,1.584987,0.000125,0.000000
3.411622,4.795962,-77.404796,1.584987,0.000498,0.000001
3.465018,4.795961,-77.404771,1.584987,0.000499,-0.000000
3.518109,4.795961,-77.404738,1.584987,0.000665,-0.000000
3.558252,4.795960,-77.404704,1.584987,0.000665,-0.000000
3.611703,4.795960,-77.404679,1.584987,0.000499,-0.000000
3.664714,4.795960,-77.404673,1.584987,0.000125,0.000000
3.744918,4.795959,-77.404598,1.584987,0.001494,0.000003
3.797842,4.795958,-77.404549,1.584987,0.000996,0.000002
3.811559,4.795957,-77.404511,1.584987,0.000747,0.000002
3.918936,4.795957,-77.404474,1.584987,0.000747,0.000002
3.945038,4.795957,-77.404468,1.584987,0.000125,0.000000
3.959005,4.795956,-77.404443,1.584987,0.000498,0.000002
4.012122,4.795955,-77.404356,1.584987,0.001742,0.000005
4.064727,4.795954,-77.404294,1.584987,0.001244,0.000004
4.145653,4.795954,-77.404294,1.584987,0.000000,0.000000
4.157832,4.795954,-77.404306,1.584987,-0.000249,-0.000001
4.211471,4.795955,-77.404368,1.584987,-0.001245,-0.000003
4.264761,4.795955,-77.404387,1.584987,-0.000374,0.000000
4.318038,4.795955,-77.404387,1.584987,0.000000,0.000000
4.371194,4.795955,-77.404362,1.584987,0.000499,0.000000
4.425449,4.795954,-77.404263,1.584987,0.001988,0.000011
4.477800,4.795954,-77.404269,1.584987,-0.000125,0.000000
4.531475,4.795954,-77.404257,1.584987,0.000249,0.000001
4.598271,4.795953,-77.404207,1.584987,0.000996,0.000002
4.651143,4.795951,-77.404082,1.584987,0.002491,0.000004
4.717892,4.795950,-77.403995,1.584987,0.001742,0.000006
4.771167,4.795950,-77.403995,1.584987,-0.000000,-0.000000
4.771177,4.795950,-77.404008,1.584987,-0.000249,0.000000
4.838455,4.795948,-77.403883,1.584987,0.002490,0.000005
4.890893,4.795946,-77.403771,1.584987,0.002240,0.000006
4.944165,4.795946,-77.403759,1.584987,0.000249,0.000000
4.944165,4.795947,-77.403808,1.584991,-0.000996,-0.000003
5.024287,4.795947,-77.403796,1.584991,0.000249,0.000001
5.024294,4.795946,-77.403784,1.584991,0.000249,0.000001
5.037866,4.795947,-77.403808,1.584991,-0.000498,-0.000001
5.050428,4.795947,-77.403817,1.584991,-0.000166,-0.000000
5.077167,4.795947,-77.403808,1.584991,0.000166,0.000000
5.170982,4.795947,-77.403802,1.584991,0.000125,0.000000
5.224290,4.795946,-77.403727,1.584991,0.001493,0.000004
5.277359,4.795944,-77.403653,1.584991,0.001493,0.000005
5.343920,4.795944,-77.403653,1.584991,0.000000,0.000000
5.464854,4.795944,-77.403653,1.584991,0.000000,0.000000
5.464976,4.795945,-77.403678,1.584991,-0.000498,-0.000001
5.517046,4.795945,-77.403678,1.584991,-0.000000,-0.000000
5.517052,4.795944,-77.403653,1.584991,0.000498,0.000002
5.570569,4.795944,-77.403653,1.584991,0.000000,0.000000
5.583678,4.795944,-77.403653,1.584991,0.000000,0.000000
5.637324,4.795944,-77.403628,1.584991,0.000497,0.000002
