Time(Sec),Frame,LO(m),AO(deg)
0.00000,0001,0.00000,50.19443
0.00239,0002,0.00000,49.99905
0.01029,0003,0.00000,49.99676
0.04241,0004,0.00000,49.97499
0.10951,0005,0.00000,49.94691
0.26997,0006,0.00000,49.87243
0.44606,0007,0.00000,49.80367
0.60548,0008,0.00000,49.75669
0.81562,0009,0.00000,49.67304
0.93056,0010,0.00000,49.62033
1.09587,0011,0.00000,49.57735
1.26309,0012,0.00000,49.52006
1.43371,0013,0.00000,49.49657
1.65008,0014,0.00000,49.46505
1.76182,0015,0.00000,49.45990
1.92690,0016,0.00000,49.45188
2.08943,0017,0.00000,49.44615
2.26014,0018,0.00000,49.40031
2.45555,0019,0.00000,49.37911
2.63490,0020,0.00000,49.36708
2.75187,0021,0.00000,49.35562
2.91857,0022,0.00000,49.32869
3.08641,0023,0.00000,49.33327
3.24878,0024,0.00000,49.32181
3.41740,0025,0.00000,49.34874
3.62780,0026,0.00000,49.30176
3.74714,0027,0.00000,49.28916
3.91184,0028,0.00000,49.26796
4.07804,0029,0.00000,49.22212
4.24864,0030,0.00000,49.22957
4.41088,0031,0.00000,49.21353
4.57603,0032,0.00000,49.21868
4.73919,0033,0.00000,49.21524
4.92286,0034,0.00000,49.21524
5.07131,0035,0.00000,49.20035
5.23870,0036,0.00000,49.16654
5.41070,0037,0.00000,49.16826
5.61055,0038,0.00000,49.15165
5.73549,0039,0.00000,49.12185
5.90055,0040,0.00000,49.09435
6.06638,0041,0.00000,49.08346
6.24298,0042,0.00000,49.06628
6.39857,0043,0.00000,49.03534
6.61271,0044,0.00000,49.01013
6.72834,0045,0.00000,48.98549
6.89455,0046,0.00000,48.96142
7.09665,0047,0.00000,48.94080
7.22661,0048,0.00000,48.92189
7.39612,0049,0.00000,48.93392
7.55520,0050,0.00000,48.91960
7.72152,0051,0.00000,48.91673
7.88605,0052,0.00000,48.89267
8.05501,0053,0.00000,48.89954
8.23229,0054,0.00000,48.89095
8.38384,0055,0.00000,48.88121
8.55071,0056,0.00000,48.89496
8.71346,0057,0.00000,48.88407
8.88120,0058,0.00000,48.89152
9.04632,0059,0.00000,48.89954
9.21442,0060,0.00000,48.93106
9.42525,0061,0.00000,48.91960
9.54016,0062,0.00000,48.89954
9.72973,0063,0.00000,48.91272
9.87448,0064,0.00000,48.91100
10.04420,0065,0.00000,48.91673
10.20650,0066,0.00000,48.92590
10.37228,0067,0.00000,48.92819
10.53465,0068,0.00000,48.92934
10.70685,0069,0.00000,48.95111
10.86971,0070,0.00000,48.96314
11.03763,0071,0.00000,48.97116
11.22870,0072,0.00000,48.97747
11.36173,0073,0.00000,48.99179
11.56799,0074,0.00000,49.00611
11.69673,0075,0.00000,49.04164
11.86386,0076,0.00000,49.06971
12.03082,0077,0.00000,49.10810
12.20307,0078,0.00000,49.12930
12.36371,0079,0.00000,49.15336
12.52939,0080,0.00000,49.17571
12.69030,0081,0.00000,49.17342
12.88431,0082,0.00000,49.19233
13.02462,0083,0.00000,49.20436
13.19195,0084,0.00000,49.21181
13.19195,0085,0.00000,49.21696
13.35578,0086,0.00000,49.23702
13.52246,0087,0.00000,49.19977
13.69037,0088,0.00000,49.16253
13.85975,0089,0.00000,49.11498
14.02393,0090,0.00000,49.11440
14.18954,0091,0.00000,49.09435
14.35695,0092,0.00000,49.07544
14.53688,0093,0.00000,49.07659
14.69212,0094,0.00000,49.05424
14.85816,0095,0.00000,48.98205
15.02619,0096,0.00000,48.98262
15.21591,0097,0.00000,49.04049
15.37077,0098,0.00000,49.12758
15.52305,0099,0.00000,49.17972
15.72645,0100,0.00000,49.23186
15.85696,0101,0.00000,49.26624
16.05214,0102,0.00000,49.31494
16.19243,0103,0.00000,49.35562
16.35667,0104,0.00000,49.39114
16.52279,0105,0.00000,49.43068
16.69118,0106,0.00000,49.46104
16.85736,0107,0.00000,49.44557
17.04463,0108,0.00000,49.33499
17.19257,0109,0.00000,49.26108
17.35606,0110,0.00000,49.22957
17.52439,0111,0.00000,49.17342
17.68993,0112,0.00000,49.17800
17.85672,0113,0.00000,49.12357
18.05238,0114,0.00000,48.63885
18.19131,0115,0.00000,48.09970
18.35742,0116,0.00000,47.64477
18.52358,0117,0.00000,47.33881
18.70537,0118,0.00000,47.28323
18.87013,0119,0.00000,47.27750
19.02394,0120,0.00000,47.32105
19.19436,0121,0.00000,47.40069
19.35643,0122,0.00000,47.44882
