Time(ROS) Frame LO(m) AO(deg)
1570713262.905950308 0001 0.00000 50.19443
1570713263.736967087 0002 0.00000 49.99905
1570713263.236852884 0003 0.00000 49.99676
1570713263.403719425 0004 0.00000 49.97499
1570713263.572003603 0005 0.00000 49.94691
1570713263.733072281 0006 0.00000 49.87243
1570713263.908391714 0007 0.00000 49.80367
1570713264.684850454 0008 0.00000 49.75669
1570713264.272312164 0009 0.00000 49.67304
1570713264.394112825 0010 0.00000 49.62033
1570713264.559373140 0011 0.00000 49.57735
1570713264.725892305 0012 0.00000 49.52006
1570713264.896969557 0013 0.00000 49.49657
1570713265.108626604 0014 0.00000 49.46505
1570713265.224451303 0015 0.00000 49.45990
1570713265.389787436 0016 0.00000 49.45188
1570713265.553423405 0017 0.00000 49.44615
1570713265.723405838 0018 0.00000 49.40031
1570713265.917894840 0019 0.00000 49.37911
1570713266.897942781 0020 0.00000 49.36708
1570713266.215463877 0021 0.00000 49.35562
1570713266.380617857 0022 0.00000 49.32869
1570713266.549774885 0023 0.00000 49.33327
1570713266.712070704 0024 0.00000 49.32181
1570713266.880704403 0025 0.00000 49.34874
1570713267.859344244 0026 0.00000 49.30176
1570713267.210626364 0027 0.00000 49.28916
1570713267.374995470 0028 0.00000 49.26796
1570713267.541107655 0029 0.00000 49.22212
1570713267.710780621 0030 0.00000 49.22957
1570713267.874073267 0031 0.00000 49.21353
1570713268.399122000 0032 0.00000 49.21868
1570713268.202809811 0033 0.00000 49.21524
1570713268.385196924 0034 0.00000 49.21524
1570713268.534158230 0035 0.00000 49.20035
1570713268.702001095 0036 0.00000 49.16654
1570713268.873635292 0037 0.00000 49.16826
1570713269.727800608 0038 0.00000 49.15165
1570713269.198581219 0039 0.00000 49.12185
1570713269.363878965 0040 0.00000 49.09435
1570713269.528833866 0041 0.00000 49.08346
1570713269.705899000 0042 0.00000 49.06628
1570713269.862407207 0043 0.00000 49.03534
1570713270.714409590 0044 0.00000 49.01013
1570713270.191693068 0045 0.00000 48.98549
1570713270.358006954 0046 0.00000 48.96142
1570713270.556936502 0047 0.00000 48.94080
1570713270.689966440 0048 0.00000 48.92189
1570713270.858092785 0049 0.00000 48.93392
1570713271.187992334 0050 0.00000 48.91960
1570713271.184931993 0051 0.00000 48.91673
1570713271.349689960 0052 0.00000 48.89267
1570713271.517737389 0053 0.00000 48.89954
1570713271.694419622 0054 0.00000 48.89095
1570713271.847378731 0055 0.00000 48.88121
1570713272.139530182 0056 0.00000 48.89496
1570713272.176827669 0057 0.00000 48.88407
1570713272.344775200 0058 0.00000 48.89152
1570713272.509803295 0059 0.00000 48.89954
1570713272.676954985 0060 0.00000 48.93106
1570713272.883881330 0061 0.00000 48.91960
1570713273.405321598 0062 0.00000 48.89954
1570713273.191487551 0063 0.00000 48.91272
1570713273.337701559 0064 0.00000 48.91100
1570713273.507497311 0065 0.00000 48.91673
1570713273.667782545 0066 0.00000 48.92590
1570713273.835654259 0067 0.00000 48.92819
1570713273.998079062 0068 0.00000 48.92934
1570713274.170207262 0069 0.00000 48.95111
1570713274.331588745 0070 0.00000 48.96314
1570713274.499712229 0071 0.00000 48.97116
1570713274.691399336 0072 0.00000 48.97747
1570713274.825719833 0073 0.00000 48.99179
1570713275.276450396 0074 0.00000 49.00611
1570713275.160068750 0075 0.00000 49.04164
1570713275.326878309 0076 0.00000 49.06971
1570713275.493886232 0077 0.00000 49.10810
1570713275.666112423 0078 0.00000 49.12930
1570713275.826659918 0079 0.00000 49.15336
1570713275.992937326 0080 0.00000 49.17571
1570713276.153813124 0081 0.00000 49.17342
1570713276.346643209 0082 0.00000 49.19233
1570713276.486854076 0083 0.00000 49.20436
1570713276.655379295 0084 0.00000 49.21181
1570713276.822349310 0085 0.00000 49.21696
1570713276.986873388 0086 0.00000 49.23702
1570713277.153508902 0087 0.00000 49.19977
1570713277.321348190 0088 0.00000 49.16253
1570713277.488380909 0089 0.00000 49.11498
1570713277.654081583 0090 0.00000 49.11440
1570713277.820499182 0091 0.00000 49.09435
1570713277.988019228 0092 0.00000 49.07544
1570713278.165823936 0093 0.00000 49.07659
1570713278.322891474 0094 0.00000 49.05424
1570713278.488572598 0095 0.00000 48.98205
1570713278.656482935 0096 0.00000 48.98262
1570713278.842037201 0097 0.00000 49.04049
1570713279.788489103 0098 0.00000 49.12758
1570713279.154041767 0099 0.00000 49.17972
1570713279.355991602 0100 0.00000 49.23186
1570713279.487969875 0101 0.00000 49.26624
1570713279.678140163 0102 0.00000 49.31494
1570713279.822938442 0103 0.00000 49.35562
1570713279.987590313 0104 0.00000 49.39114
1570713280.153925180 0105 0.00000 49.43068
1570713280.322059155 0106 0.00000 49.46104
1570713280.487742424 0107 0.00000 49.44557
1570713280.672733545 0108 0.00000 49.33499
1570713280.823502541 0109 0.00000 49.26108
1570713280.987108469 0110 0.00000 49.22957
1570713281.155506849 0111 0.00000 49.17342
1570713281.320902586 0112 0.00000 49.17800
1570713281.487656116 0113 0.00000 49.12357
1570713281.676703215 0114 0.00000 48.63885
1570713281.821448565 0115 0.00000 48.09970
1570713281.988259077 0116 0.00000 47.64477
1570713282.154016495 0117 0.00000 47.33881
1570713282.334602356 0118 0.00000 47.28323
1570713282.499420881 0119 0.00000 47.27750
1570713282.654867887 0120 0.00000 47.32105
1570713282.825073004 0121 0.00000 47.40069
1570713282.987419605 0122 0.00000 47.44882
1570713283.153971910 0123 0.00000 47.47001
1570713283.322678566 0124 0.00000 47.03915
1570713283.491654873 0125 0.00000 47.05634
