Time(Sec),Frame,LO(m),AO(deg)
0.00000,0001,0.00000,49.45491
0.02777,0002,0.00000,49.45147
0.03805,0003,0.00000,49.45147
0.04879,0004,0.00000,49.45147
0.06123,0005,0.00000,49.45089
0.06893,0006,0.00000,49.45089
0.19179,0007,0.00000,49.44860
0.34830,0008,0.00000,49.45376
0.52720,0009,0.00000,49.45204
0.72755,0010,0.00000,49.44688
0.88094,0011,0.00000,49.44631
1.01296,0012,0.00000,49.44345
1.17870,0013,0.00000,49.44001
1.34414,0014,0.00000,49.43772
1.52406,0015,0.00000,49.43371
1.67305,0016,0.00000,49.42855
1.84178,0017,0.00000,49.42740
2.04326,0018,0.00000,49.42339
2.17136,0019,0.00000,49.41938
2.34078,0020,0.00000,49.41709
2.55076,0021,0.00000,49.41365
2.66720,0022,0.00000,49.40964
2.83510,0023,0.00000,49.40391
2.99693,0024,0.00000,49.40391
3.16792,0025,0.00000,49.39933
3.33363,0026,0.00000,49.39245
3.50256,0027,0.00000,49.39245
3.66257,0028,0.00000,49.39016
3.82678,0029,0.00000,49.39131
4.03079,0030,0.00000,49.39360
4.16033,0031,0.00000,49.39474
4.32307,0032,0.00000,49.39360
4.48965,0033,0.00000,49.39417
4.70616,0034,0.00000,49.38902
4.81984,0035,0.00000,49.38959
4.98629,0036,0.00000,49.38902
5.15124,0037,0.00000,49.38959
5.31757,0038,0.00000,49.39303
5.49825,0039,0.00000,49.39474
5.65850,0040,0.00000,49.40105
5.85198,0041,0.00000,49.39417
5.99276,0042,0.00000,49.38329
6.14767,0043,0.00000,49.37927
6.31553,0044,0.00000,49.38500
6.47680,0045,0.00000,49.37240
6.68506,0046,0.00000,49.37927
6.80660,0047,0.00000,49.38214
7.01236,0048,0.00000,49.38157
7.14031,0049,0.00000,49.39532
7.33865,0050,0.00000,49.39876
7.46939,0051,0.00000,49.40563
7.63996,0052,0.00000,49.42970
7.84510,0053,0.00000,49.42855
7.96572,0054,0.00000,49.42511
8.13569,0055,0.00000,49.42511
8.30193,0056,0.00000,49.41423
8.46666,0057,0.00000,49.40964
8.63218,0058,0.00000,49.39131
8.83193,0059,0.00000,49.40391
8.95848,0060,0.00000,49.40964
9.14769,0061,0.00000,49.41136
9.29208,0062,0.00000,49.41537
9.45986,0063,0.00000,49.41537
9.62309,0064,0.00000,49.41480
9.78703,0065,0.00000,49.41480
9.95183,0066,0.00000,49.41480
10.12182,0067,0.00000,49.41251
10.28690,0068,0.00000,49.40334
10.44938,0069,0.00000,49.39818
10.61874,0070,0.00000,49.40964
10.78347,0071,0.00000,49.40448
10.94845,0072,0.00000,49.39876
11.15917,0073,0.00000,49.39532
