Time(ROS) Frame LO(m) AO(deg)
1570712984.543403387 0001 0.00000 49.45491
1570712984.710875034 0002 0.00000 49.45147
1570712984.876534939 0003 0.00000 49.45147
1570712985.422379017 0004 0.00000 49.45147
1570712985.205404997 0005 0.00000 49.45089
1570712985.408397675 0006 0.00000 49.45089
1570712985.543776989 0007 0.00000 49.44860
1570712985.701956987 0008 0.00000 49.45376
1570712985.880200863 0009 0.00000 49.45204
1570712986.761843204 0010 0.00000 49.44688
1570712986.232731104 0011 0.00000 49.44631
1570712986.365199327 0012 0.00000 49.44345
1570712986.532291412 0013 0.00000 49.44001
1570712986.696875334 0014 0.00000 49.43772
1570712986.875815153 0015 0.00000 49.43371
1570712987.268972874 0016 0.00000 49.42855
1570712987.194716692 0017 0.00000 49.42740
1570712987.393960953 0018 0.00000 49.42339
1570712987.524700165 0019 0.00000 49.41938
1570712987.694130182 0020 0.00000 49.41709
1570712987.903143406 0021 0.00000 49.41365
1570712988.206643581 0022 0.00000 49.40964
1570712988.188581705 0023 0.00000 49.40391
1570712988.350607872 0024 0.00000 49.40391
1570712988.518911123 0025 0.00000 49.39933
1570712988.687118292 0026 0.00000 49.39245
1570712988.854679346 0027 0.00000 49.39245
1570712989.155505419 0028 0.00000 49.39016
1570712989.180326223 0029 0.00000 49.39131
1570712989.381929874 0030 0.00000 49.39360
1570712989.513439894 0031 0.00000 49.39474
1570712989.676383257 0032 0.00000 49.39360
1570712989.841204643 0033 0.00000 49.39417
1570712990.545052052 0034 0.00000 49.38902
1570712990.173540831 0035 0.00000 49.38959
1570712990.339759350 0036 0.00000 49.38902
1570712990.504511595 0037 0.00000 49.38959
1570712990.670768499 0038 0.00000 49.39303
1570712990.850769281 0039 0.00000 49.39474
1570712991.118118763 0040 0.00000 49.40105
1570712991.203181982 0041 0.00000 49.39417
1570712991.345925570 0042 0.00000 49.38329
1570712991.501248360 0043 0.00000 49.37927
1570712991.668083191 0044 0.00000 49.38500
1570712991.830451965 0045 0.00000 49.37240
1570712992.352395058 0046 0.00000 49.37927
