Time(Sec),Frame,LO(m),AO(deg)
0.00000,0001,0.00000,49.49572
0.00308,0002,0.00000,49.47280
0.01114,0003,0.00000,49.47395
0.01191,0004,0.00000,49.47395
0.01452,0005,0.00000,49.47395
0.01871,0006,0.00000,49.46994
0.02991,0007,0.00000,49.46879
0.05300,0008,0.00000,49.46593
0.05351,0009,0.00000,49.46593
0.19326,0010,0.00000,49.43785
0.35669,0011,0.00000,49.43900
0.53993,0012,0.00000,49.40806
0.68439,0013,0.00000,49.38686
0.85207,0014,0.00000,49.31982
1.01555,0015,0.00000,49.30435
1.18236,0016,0.00000,49.29289
1.35369,0017,0.00000,49.29060
1.51639,0018,0.00000,49.28430
1.68081,0019,0.00000,49.26138
1.84332,0020,0.00000,49.25451
2.00917,0021,0.00000,49.24419
2.17575,0022,0.00000,49.23732
2.34752,0023,0.00000,49.22414
2.50777,0024,0.00000,49.21211
2.71534,0025,0.00000,49.20638
2.83801,0026,0.00000,49.19778
3.00612,0027,0.00000,49.19205
3.16910,0028,0.00000,49.18747
3.37883,0029,0.00000,49.18862
3.49977,0030,0.00000,49.17372
3.66844,0031,0.00000,49.16742
3.83195,0032,0.00000,49.16570
3.99624,0033,0.00000,49.09866
4.16360,0034,0.00000,49.03736
4.33001,0035,0.00000,48.91073
4.54482,0036,0.00000,48.98464
4.66115,0037,0.00000,49.03334
4.82837,0038,0.00000,49.09465
4.99287,0039,0.00000,49.18174
5.16103,0040,0.00000,49.24706
5.34736,0041,0.00000,49.26768
5.49273,0042,0.00000,49.38571
5.65811,0043,0.00000,49.54786
5.82550,0044,0.00000,49.64870
5.99114,0045,0.00000,49.64183
6.15828,0046,0.00000,49.67563
6.32607,0047,0.00000,49.80054
6.49023,0048,0.00000,49.90023
6.65828,0049,0.00000,49.96555
6.82333,0050,0.00000,49.86986
6.99109,0051,0.00000,49.21784
7.16294,0052,0.00000,48.49476
7.32323,0053,0.00000,48.12120
7.49180,0054,0.00000,48.04041
7.65616,0055,0.00000,48.08739
7.82463,0056,0.00000,48.07135
7.98923,0057,0.00000,47.98197
8.17844,0058,0.00000,47.11909
8.35410,0059,0.00000,45.74686
8.48812,0060,0.00000,45.18479
8.65571,0061,0.00000,44.85018
8.82308,0062,0.00000,44.78314
8.99933,0063,0.00000,44.96363
9.15696,0064,0.00000,45.60305
9.32050,0065,0.00000,46.88819
9.50325,0066,0.00000,47.97280
9.65458,0067,0.00000,48.22948
9.84534,0068,0.00000,48.46039
9.98685,0069,0.00000,48.43632
10.15520,0070,0.00000,48.40023
10.32557,0071,-0.07878,-0.55716
10.48651,0072,-0.07709,-0.53997
10.65521,0073,-0.08157,-1.10548
10.82111,0074,-0.08844,-1.52833
10.98671,0075,-0.08772,-1.64464
11.15463,0076,-0.08380,-1.61255
11.31945,0077,-0.07395,-1.64464
11.48910,0078,-0.07277,-1.56385
11.65240,0079,-0.07213,-1.46989
11.82964,0080,-0.06916,-1.62745
11.98445,0081,-0.06908,-1.73631
12.15425,0082,-0.07028,-1.75694
12.32132,0083,-0.06905,-1.76037
12.48393,0084,-0.06913,-1.86122
12.61757,0085,-0.06937,-1.85205
12.77999,0086,-0.06760,-1.77986
12.93878,0087,-0.06402,-1.68360
12.93878,0088,-0.07212,-1.67443
13.10455,0089,-0.07049,-1.66584
13.31862,0090,-0.07120,-2.23063
13.43808,0091,-0.07057,-2.21975
13.60623,0092,-0.06920,-2.15214
13.77120,0093,-0.06996,-2.19053
13.93396,0094,-0.07031,-2.17506
14.09755,0095,-0.06569,-2.03755
14.26510,0096,-0.05821,-2.02265
14.42846,0097,-0.05064,-2.08453
14.65224,0098,-0.05032,-2.08281
14.77408,0099,-0.05040,-2.07307
14.92562,0100,-0.05130,-2.08395
15.09082,0101,-0.05443,-2.14583
15.26861,0102,-0.04844,-2.19110
15.42293,0103,-0.04702,-2.20599
15.59291,0104,-0.04305,-2.18250
15.80346,0105,-0.04473,-2.29079
15.95439,0106,-0.04479,-2.29480
16.14982,0107,-0.04176,-2.26902
16.25311,0108,-0.04212,-2.36356
16.41634,0109,-0.05152,-2.48445
16.58603,0110,-0.05740,-2.56868
16.75331,0111,-0.06044,-2.55779
16.91851,0112,-0.05963,-2.54461
17.07864,0113,-0.06137,-2.67926
17.24392,0114,-0.06496,-2.71020
17.41000,0115,-0.07366,-2.55964
17.57581,0116,-0.07200,-2.61293
17.74615,0117,-0.07299,-2.64558
17.90808,0118,-0.07408,-2.62553
18.07211,0119,-0.07298,-2.56537
18.23872,0120,-0.07130,-2.60662
18.40524,0121,-0.06477,-2.70804
18.57267,0122,-0.06341,-2.76018
18.73726,0123,-0.06264,-2.81633
18.94166,0124,-0.05977,-2.91258
19.06514,0125,-0.05954,-2.93149
19.23221,0126,-0.05858,-2.81002
19.40235,0127,-0.02132,-2.73210
19.57185,0128,-0.01974,-2.48745
19.73185,0129,-0.01209,-1.85146
19.89668,0130,-0.00111,-0.79092
20.06234,0131,0.01030,0.17222
20.22542,0132,0.01564,0.55095
20.39764,0133,0.03086,0.63598
20.56082,0134,0.02764,0.59415
20.72926,0135,0.02608,0.56379
20.88679,0136,0.02933,0.59759
21.05307,0137,0.02865,0.49389
21.21853,0138,0.02416,0.42570
21.38546,0139,0.04224,0.37185
21.56008,0140,0.04350,0.42570
21.71612,0141,0.04460,0.46295
21.90128,0142,0.04293,0.42456
22.04567,0143,0.04131,0.43029
22.21193,0144,0.04066,0.36554
22.37695,0145,0.02400,-0.03839
22.55697,0146,0.01989,-0.05443
22.70828,0147,0.02089,0.01661
22.89856,0148,0.02114,-0.24351
23.04265,0149,0.02022,-0.23377
23.20494,0150,0.01855,-0.27502
23.38422,0151,-0.00489,-0.70318
23.54256,0152,-0.00121,-1.30422
23.70600,0153,-0.00495,-1.47324
23.86747,0154,-0.00758,-1.55861
24.03410,0155,-0.00807,-1.48298
24.20987,0156,-0.00172,-1.39073
24.36910,0157,-0.00083,-1.42110
24.57311,0158,-0.00065,-1.52824
24.69500,0159,-0.00182,-1.55918
24.86097,0160,-0.00393,-1.54314
25.02675,0161,-0.00421,-1.54142
25.19492,0162,-0.00531,-1.56262
25.36166,0163,-0.00282,-1.56892
25.52530,0164,-0.00439,-1.55574
25.70834,0165,-0.00286,-1.48699
25.85390,0166,-0.00268,-1.53569
26.01954,0167,-0.00529,-1.55173
26.19303,0168,-0.00751,-1.47324
26.35321,0169,-0.00275,-1.40792
26.51756,0170,-0.00098,-1.30422
26.68172,0171,-0.00136,-1.18332
26.84720,0172,-0.00273,-1.17129
27.01323,0173,-0.00018,-1.20681
27.18109,0174,-0.00157,-1.16441
27.34700,0175,0.00076,-0.05154
27.51092,0176,0.00176,0.00920
27.67616,0177,0.00310,0.06878
27.84183,0178,0.00369,0.13868
28.00720,0179,0.00227,0.14212
28.18059,0180,0.00245,0.25098
28.34023,0181,0.00413,0.28536
28.54378,0182,0.00653,0.30885
28.66948,0183,0.00667,0.30599
28.83678,0184,0.00454,0.30656
29.00484,0185,0.00287,0.32719
29.19941,0186,0.00175,0.35182
29.33300,0187,0.00176,0.40740
29.50015,0188,0.00236,0.47959
29.66285,0189,0.00330,0.55064
29.83230,0190,0.00410,0.58158
29.83230,0191,0.00499,-0.10082
29.99627,0192,0.00499,-0.10082
30.19661,0193,0.00580,-0.09451
30.32751,0194,0.01232,0.00633
30.49375,0195,0.01433,0.05732
30.65839,0196,0.01638,0.12780
30.82752,0197,0.01681,0.13352
31.02483,0198,0.01900,0.20686
31.15351,0199,0.02074,0.25155
31.32098,0200,0.02058,0.32547
31.48493,0201,0.02306,0.37703
31.65498,0202,0.02282,0.35068
31.82360,0203,0.02505,0.40396
31.98161,0204,0.02391,0.39307
32.15000,0205,0.02373,0.35411
