Time(ROS) Frame LO(m) AO(deg)
1570701570.987088680 0001 0.00000 49.49572
1570701571.137487411 0002 0.00000 49.47280
1570701571.315415144 0003 0.00000 49.47395
1570701571.470309019 0004 0.00000 49.47395
1570701571.637593269 0005 0.00000 49.47395
1570701571.805509806 0006 0.00000 49.46994
1570701572.126859903 0007 0.00000 49.46879
1570701572.132948637 0008 0.00000 49.46593
1570701572.302556992 0009 0.00000 49.46593
1570701572.465900898 0010 0.00000 49.43785
1570701572.630442381 0011 0.00000 49.43900
1570701572.813475370 0012 0.00000 49.40806
1570701572.959060907 0013 0.00000 49.38686
1570701573.126442432 0014 0.00000 49.31982
1570701573.289950609 0015 0.00000 49.30435
1570701573.456195116 0016 0.00000 49.29289
1570701573.626482248 0017 0.00000 49.29060
1570701573.790329933 0018 0.00000 49.28430
1570701573.955378532 0019 0.00000 49.26138
1570701574.117818356 0020 0.00000 49.25451
1570701574.283834934 0021 0.00000 49.24419
1570701574.448954344 0022 0.00000 49.23732
1570701574.621579409 0023 0.00000 49.22414
1570701574.782315731 0024 0.00000 49.21211
1570701574.985179663 0025 0.00000 49.20638
1570701575.111378193 0026 0.00000 49.19778
1570701575.280436754 0027 0.00000 49.19205
1570701575.443676472 0028 0.00000 49.18747
1570701575.649409771 0029 0.00000 49.18862
1570701575.774254084 0030 0.00000 49.17372
1570701575.942881107 0031 0.00000 49.16742
1570701576.106526375 0032 0.00000 49.16570
1570701576.270729303 0033 0.00000 49.09866
1570701576.438217402 0034 0.00000 49.03736
1570701576.604296923 0035 0.00000 48.91073
1570701576.812190533 0036 0.00000 48.98464
1570701576.935604811 0037 0.00000 49.03334
1570701577.102807760 0038 0.00000 49.09465
1570701577.267455816 0039 0.00000 49.18174
1570701577.435189724 0040 0.00000 49.24706
1570701577.620522976 0041 0.00000 49.26768
1570701577.766746759 0042 0.00000 49.38571
1570701577.932771921 0043 0.00000 49.54786
1570701578.100276709 0044 0.00000 49.64870
1570701578.265615463 0045 0.00000 49.64183
1570701578.432490110 0046 0.00000 49.67563
1570701578.600221395 0047 0.00000 49.80054
1570701578.764925003 0048 0.00000 49.90023
1570701578.933050394 0049 0.00000 49.96555
1570701579.980416298 0050 0.00000 49.86986
1570701579.264712811 0051 0.00000 49.21784
1570701579.434577227 0052 0.00000 48.49476
1570701579.597607374 0053 0.00000 48.12120
1570701579.766139746 0054 0.00000 48.04041
1570701579.930761576 0055 0.00000 48.08739
1570701580.992220163 0056 0.00000 48.07135
1570701580.263558149 0057 0.00000 47.98197
1570701580.451116800 0058 0.00000 47.11909
1570701580.626391888 0059 0.00000 45.74686
1570701580.762894154 0060 0.00000 45.18479
1570701580.930231810 0061 0.00000 44.85018
1570701581.967217922 0062 0.00000 44.78314
1570701581.271275997 0063 0.00000 44.96363
1570701581.430138588 0064 0.00000 45.60305
1570701581.595215797 0065 0.00000 46.88819
1570701581.776817083 0066 0.00000 47.97280
1570701581.928881645 0067 0.00000 48.22948
