Time(Sec),Frame,LO(m),AO(deg)
0.00000,0001,0.00000,50.70017
0.01543,0002,0.00000,50.70304
0.05339,0003,0.00000,50.70475
0.18981,0004,0.00000,50.70934
0.35827,0005,0.00000,50.71679
0.52117,0006,0.00000,50.71621
0.68595,0007,0.00000,50.71793
0.85387,0008,0.00000,50.72538
1.03406,0009,0.00000,50.73398
1.23545,0010,0.00000,50.73569
1.35003,0011,0.00000,50.72653
1.51734,0012,0.00000,50.72481
1.68520,0013,0.00000,50.73340
1.84725,0014,0.00000,50.72997
2.01676,0015,0.00000,50.73455
2.23005,0016,0.00000,50.74028
2.34489,0017,0.00000,50.74257
2.51134,0018,0.00000,50.74945
2.67816,0019,0.00000,50.76320
2.88946,0020,0.00000,50.76090
3.01123,0021,0.00000,50.75976
3.20700,0022,0.00000,50.76606
3.34366,0023,0.00000,50.75804
3.51255,0024,0.00000,50.76033
3.67646,0025,0.00000,50.75689
3.84360,0026,0.00000,50.75231
4.01125,0027,0.00000,50.78153
4.21546,0028,0.00000,50.80445
4.34562,0029,0.00000,50.79815
4.50924,0030,0.00000,50.75288
4.67574,0031,0.00000,50.76893
4.84206,0032,0.00000,50.79242
5.01993,0033,0.00000,50.79184
5.17712,0034,0.00000,50.79929
5.34173,0035,0.00000,50.80445
5.50801,0036,0.00000,50.78382
5.67449,0037,0.00000,50.79872
5.84530,0038,0.00000,50.83310
6.00899,0039,0.00000,50.85086
6.20092,0040,0.00000,50.87550
6.35001,0041,0.00000,50.90987
6.50785,0042,0.00000,50.92534
6.67352,0043,0.00000,50.95170
6.84004,0044,0.00000,50.97290
7.00681,0045,0.00000,50.98550
7.17310,0046,0.00000,51.00441
7.35202,0047,0.00000,51.01587
7.50591,0048,0.00000,51.01816
7.67334,0049,0.00000,51.03936
7.84012,0050,0.00000,51.05025
8.00628,0051,0.00000,51.07489
8.17492,0052,0.00000,51.09150
8.33855,0053,0.00000,51.11786
8.50578,0054,0.00000,51.12932
8.67621,0055,0.00000,51.14536
8.83874,0056,0.00000,51.16369
9.00755,0057,0.00000,51.17172
9.17124,0058,0.00000,51.09838
9.33835,0059,0.00000,51.25193
9.50615,0060,0.00000,51.16599
9.67043,0061,0.00000,51.20609
9.79814,0062,0.00000,51.32011
9.96191,0063,0.00000,51.40319
10.12464,0064,0.00000,51.49257
10.28971,0065,0.00000,51.74868
10.45625,0066,0.00000,51.86156
10.62520,0067,0.00000,51.93719
10.81128,0068,0.00000,52.03173
10.95403,0069,0.00000,52.08043
11.11667,0070,0.00000,52.10163
11.28612,0071,0.00000,52.11423
11.44976,0072,0.00000,52.13428
11.62142,0073,0.00000,52.17153
11.78099,0074,0.00000,52.19960
11.94605,0075,0.00000,52.18069
12.11334,0076,0.00000,52.19616
12.27637,0077,0.00000,52.18814
12.50076,0078,0.00000,52.27752
12.61311,0079,0.00000,52.61786
12.77643,0080,0.00000,53.05044
12.94065,0081,0.00000,53.45209
13.10494,0082,0.00000,53.74773
13.27035,0083,0.00000,53.77524
13.44154,0084,0.00000,53.79815
13.65633,0085,0.00000,53.76951
13.76715,0086,0.00000,53.77008
13.93341,0087,0.00000,53.78669
14.10190,0088,0.00000,53.81248
14.26718,0089,0.00000,53.81706
14.26718,0090,0.00000,53.86175
14.43520,0091,0.00000,53.86175
14.61920,0092,0.00000,53.91389
14.76247,0093,0.00000,54.07031
14.92593,0094,0.00000,54.14021
15.09513,0095,0.00000,54.18032
15.26344,0096,0.00000,54.22157
15.43785,0097,0.00000,54.19636
15.58829,0098,0.00000,54.20324
15.77138,0099,0.00000,54.07145
15.91905,0100,0.00000,54.12302
16.08680,0101,0.00000,54.12359
16.25757,0102,0.00000,54.18204
16.42502,0103,0.00000,54.25136
16.58121,0104,0.00000,54.31955
16.74655,0105,0.00000,54.42497
16.91306,0106,0.00000,54.51894
17.08352,0107,0.00000,54.65931
17.24806,0108,0.00000,54.75843
17.46887,0109,0.00000,54.84438
17.57544,0110,0.00000,54.83062
17.78992,0111,0.00000,54.95152
17.90823,0112,0.00000,54.98074
18.07332,0113,0.00000,54.96642
18.28921,0114,0.00000,54.93318
18.40382,0115,-0.04573,4.29127
18.56849,0116,-0.04371,4.35888
18.73481,0117,-0.04006,4.13714
18.89904,0118,-0.03240,3.85009
19.06732,0119,-0.02773,3.67018
19.23270,0120,-0.02759,3.61117
19.39763,0121,-0.03190,3.76587
19.56104,0122,-0.03313,3.89879
19.74091,0123,-0.03483,3.89593
19.89355,0124,-0.03301,3.76701
20.06746,0125,-0.02716,3.60315
20.22795,0126,-0.02581,3.60601
20.39364,0127,-0.01790,5.64018
20.55445,0128,-0.01653,5.48033
20.72020,0129,-0.01804,5.57544
20.88648,0130,-0.02159,5.67628
21.05564,0131,-0.02194,5.68487
21.23222,0132,-0.01947,5.67513
21.40079,0133,0.00011,5.57028
21.54819,0134,0.00137,5.61784
21.71690,0135,-0.00214,5.62185
21.88121,0136,-0.00488,5.70779
22.09305,0137,-0.00654,5.81035
22.21125,0138,-0.00643,5.83843
22.37659,0139,-0.00787,5.40405
22.54394,0140,-0.00975,5.50948
22.70932,0141,-0.01059,5.53526
22.87765,0142,-0.01175,5.62350
23.04037,0143,-0.01072,5.63897
23.20789,0144,-0.00952,5.62178
23.36916,0145,-0.00144,5.57537
23.54508,0146,-0.00075,5.50547
23.71056,0147,-0.00045,5.54385
23.87037,0148,-0.00100,5.45791
24.03200,0149,-0.00294,5.49745
24.19760,0150,0.00556,5.56219
24.39151,0151,0.00946,5.62063
24.53072,0152,0.01024,5.37655
24.69503,0153,0.01093,5.20065
24.86314,0154,0.01280,5.14508
25.06621,0155,0.01688,5.14909
25.19111,0156,0.01740,5.22644
25.35860,0157,0.01461,5.39660
25.52379,0158,0.02617,5.49286
25.69243,0159,0.02791,5.57995
25.85431,0160,0.02899,5.63037
26.05292,0161,0.03009,5.49802
26.18488,0162,0.02862,5.48312
26.39334,0163,0.02321,5.53182
26.51903,0164,0.02862,3.26232
26.68327,0165,0.03088,3.26576
26.89717,0166,0.03489,3.16492
27.01274,0167,0.03470,3.22279
27.19436,0168,0.03123,3.33566
27.34484,0169,0.02914,3.41817
27.51121,0170,0.02190,3.43363
27.67533,0171,0.02229,3.42848
27.85060,0172,0.02281,3.49437
28.00574,0173,0.02204,3.53963
28.17125,0174,0.02012,3.62787
