Time(ROS) Frame LO(m) AO(deg)
1570701179.879776716 0001 0.00000 50.70017
1570701180.345263958 0002 0.00000 50.70304
1570701180.209189892 0003 0.00000 50.70475
1570701180.365663528 0004 0.00000 50.70934
1570701180.534037590 0005 0.00000 50.71679
1570701180.696781874 0006 0.00000 50.71621
1570701180.861765862 0007 0.00000 50.71793
1570701181.291350126 0008 0.00000 50.72538
1570701181.208700657 0009 0.00000 50.73398
1570701181.402576447 0010 0.00000 50.73569
1570701181.524279833 0011 0.00000 50.72653
1570701181.693093061 0012 0.00000 50.72481
1570701181.860786200 0013 0.00000 50.73340
1570701182.229025364 0014 0.00000 50.72997
1570701182.191486120 0015 0.00000 50.73455
1570701182.399770498 0016 0.00000 50.74028
1570701182.521028519 0017 0.00000 50.74257
1570701182.687508345 0018 0.00000 50.74945
1570701182.853947639 0019 0.00000 50.76320
1570701183.646612644 0020 0.00000 50.76090
1570701183.187006950 0021 0.00000 50.75976
1570701183.380334854 0022 0.00000 50.76606
1570701183.519541264 0023 0.00000 50.75804
1570701183.688341379 0024 0.00000 50.76033
1570701183.852644205 0025 0.00000 50.75689
1570701184.195109844 0026 0.00000 50.75231
1570701184.187287331 0027 0.00000 50.78153
1570701184.387369633 0028 0.00000 50.80445
1570701184.520333290 0029 0.00000 50.79815
1570701184.685234785 0030 0.00000 50.75288
1570701184.851859808 0031 0.00000 50.76893
1570701185.182618856 0032 0.00000 50.79242
1570701185.184755802 0033 0.00000 50.79184
1570701185.352638245 0034 0.00000 50.79929
1570701185.517617226 0035 0.00000 50.80445
1570701185.684249640 0036 0.00000 50.78382
1570701185.850555658 0037 0.00000 50.79872
1570701186.175375462 0038 0.00000 50.83310
1570701186.184549809 0039 0.00000 50.85086
1570701186.371934414 0040 0.00000 50.87550
1570701186.522815943 0041 0.00000 50.90987
1570701186.683284044 0042 0.00000 50.92534
1570701186.849625111 0043 0.00000 50.95170
1570701187.162171364 0044 0.00000 50.97290
1570701187.182884455 0045 0.00000 50.98550
1570701187.349058867 0046 0.00000 51.00441
1570701187.524734259 0047 0.00000 51.01587
1570701187.682030916 0048 0.00000 51.01816
1570701187.848790407 0049 0.00000 51.03936
1570701188.159762859 0050 0.00000 51.05025
1570701188.182185411 0051 0.00000 51.07489
1570701188.349190712 0052 0.00000 51.09150
1570701188.514687777 0053 0.00000 51.11786
1570701188.681905985 0054 0.00000 51.12932
1570701188.850969791 0055 0.00000 51.14536
1570701189.144527197 0056 0.00000 51.16369
1570701189.181923389 0057 0.00000 51.17172
1570701189.347374439 0058 0.00000 51.09838
1570701189.514303207 0059 0.00000 51.25193
1570701189.681462049 0060 0.00000 51.16599
1570701189.846632242 0061 0.00000 51.20609
1570701189.974072218 0062 0.00000 51.32011
1570701190.138086557 0063 0.00000 51.40319
1570701190.300944328 0064 0.00000 51.49257
