Time(Sec), LO(m), AO(deg)
1.0000000000,0.0000000000,167.4336293856
2.0000000000,0.0000000000,199.8881631849
3.0000000000,0.0000000000,13.7173461909
4.0000000000,0.0000000000,19.9354049653
5.0000000000,0.0000000000,66.4452672949
6.0000000000,0.0000000000,32.5259396795
7.0000000000,0.0000000000,37.6004095828
8.0000000000,0.0000000000,31.4801474643
9.0000000000,-0.2491510615,1.0325567495
10.0000000000,-0.2503883754,-13.4839766584
11.0000000000,-0.2595066765,-18.0998969747
12.0000000000,-0.2703922814,-17.4553004747
13.0000000000,-0.2546005281,-0.2829424262
14.0000000000,-0.2446538565,-6.3194349371
15.0000000000,-0.2079974914,5.2460926042
16.0000000000,-0.1891344075,-1.6047698274
17.0000000000,-0.1550933430,4.0099429110
18.0000000000,-0.1344294822,-3.3174440741
19.0000000000,-0.1109875965,0.2475408565
20.0000000000,-0.1006450665,-7.7849258306
21.0000000000,-0.0857053905,-5.8484599281
22.0000000000,-0.0859420680,-12.6543534976
23.0000000000,-0.0724207271,-7.6888972102
24.0000000000,-0.0536209745,-5.2856514929
25.0000000000,-0.0412990213,-7.9939763324
26.0000000000,-0.0425657590,-12.9700839342
27.0000000000,-0.0334898048,-9.0498520088
28.0000000000,-0.0398646745,-14.9060979700
29.0000000000,-0.0736447451,-22.0506783161
30.0000000000,-0.1207054967,-23.7353302956
31.0000000000,-0.1360112524,-16.6534935610
32.0000000000,-0.1599479333,-23.4914291159
33.0000000000,-0.1776156184,-19.4255054108
34.0000000000,-0.1986241293,-20.7106613513
35.0000000000,-0.2244649217,-22.5467248565
36.0000000000,-0.2391821228,-18.8004274633
37.0000000000,-0.2646369176,-22.5982075151
38.0000000000,-0.2808592446,-19.3259655695
39.0000000000,-0.2829756574,-13.4342837640
40.0000000000,-0.3073189308,-22.3352119932
41.0000000000,-0.3236065325,-21.3877642125
42.0000000000,-0.3295063255,-14.9669117383
43.0000000000,-0.3488077536,-20.8701129815
44.0000000000,-0.3640558582,-18.7322505474
45.0000000000,-0.3605820477,-10.8553252934
46.0000000000,-0.3379824945,-2.6933088985
47.0000000000,-0.3087742475,1.7273575604
48.0000000000,-0.2321774559,35.8683868650
49.0000000000,-0.2011929659,3.7541784032
50.0000000000,-0.1778841846,-2.7854797046
51.0000000000,-0.1394544647,11.3427833738
52.0000000000,-0.1190041453,1.8157204348
53.0000000000,-0.1055072152,-7.1036715250
54.0000000000,-0.0875474217,-5.3921303564
55.0000000000,-0.0712884756,-5.8616226573
56.0000000000,-0.0664706217,-10.7104171177
57.0000000000,-0.0562469188,-8.5775249607
58.0000000000,-0.0485385951,-9.6126444227
59.0000000000,-0.0327271682,-6.4588795321
60.0000000000,-0.0225747595,-8.5508260895
61.0000000000,-0.0139197217,-9.5830687715
62.0000000000,-0.0074535920,-9.5939293424
63.0000000000,0.0046863509,-6.9158961174
64.0000000000,0.0143226694,-8.0684359721
65.0000000000,-0.0028603672,-19.1188387584
66.0000000000,-0.0236550482,-19.9066429227
67.0000000000,-0.0466865641,-20.6494082769
68.0000000000,-0.0842589867,-26.5766021447
69.0000000000,-0.1028227822,-18.4759001083
70.0000000000,-0.1223079254,-19.2073221794
71.0000000000,-0.1495734653,-21.6847304015
72.0000000000,-0.1689906417,-19.1131220023
73.0000000000,-0.1768631651,-16.5905893134
74.0000000000,-0.1889953289,-19.1016042352
75.0000000000,-0.2056274299,-21.2287145258
76.0000000000,-0.2179281535,-19.4483646190
77.0000000000,-0.2318955155,-24.9617474089
78.0000000000,-0.2488550020,-22.8453627132
79.0000000000,-0.2653169044,-22.7980922258
80.0000000000,-0.2752666965,-18.3812716403
81.0000000000,-0.2834983487,-18.0763067513
82.0000000000,-0.2976974701,-21.8074168746
83.0000000000,-0.3054111511,-17.5009241158
84.0000000000,-0.3134461456,-17.7000288044
85.0000000000,-0.3291268330,-22.2804291624
86.0000000000,-0.3437080126,-21.4910533474
87.0000000000,-0.3275900018,0.5623454301
88.0000000000,-0.3193837688,-0.5126449380
89.0000000000,-0.3039868118,-1.0743908343
90.0000000000,-0.2695213932,17.2581190872
91.0000000000,-0.2612122651,-7.0956142816
92.0000000000,-0.2491246154,-2.6260714383
93.0000000000,-0.2174416646,14.0279573143
94.0000000000,-0.1959168008,4.3249507788
95.0000000000,-0.1811931474,-1.2690819088
96.0000000000,-0.1489707944,14.3958491979
97.0000000000,-0.1391403042,-6.8951843358
98.0000000000,-0.1284054979,-5.2321031206
99.0000000000,-0.1281214277,-12.4037869724
100.0000000000,-0.1270999350,-11.9737712644
101.0000000000,-0.1043943727,-6.3315820816
102.0000000000,-0.1051367423,-13.0940208405
103.0000000000,-0.1013026798,-10.3807823576
104.0000000000,-0.0991530396,-11.2509097185
105.0000000000,-0.0970579197,-11.4111578740
106.0000000000,-0.0897284290,-8.0355588599
107.0000000000,-0.0923665751,-13.9357495778
108.0000000000,-0.0844159620,-7.7096153506
109.0000000000,-0.0779826163,-8.8663779966
110.0000000000,-0.0630366735,-3.7513594025
111.0000000000,-0.0705582374,-12.2862515319
112.0000000000,-0.0590798213,-6.2223455591
113.0000000000,-0.0720632948,-18.3347939895
114.0000000000,-0.0847195728,-18.0089982089
115.0000000000,-0.1178934730,-25.2831748637
116.0000000000,-0.1535066756,-29.2002599906
117.0000000000,-0.1535891655,-12.6145678150
118.0000000000,-0.1633131381,-18.4185775592
119.0000000000,-0.1767907602,-20.2474292099
120.0000000000,-0.1838033413,-16.3846896102
121.0000000000,-0.1984987072,-19.1093693417
122.0000000000,-0.2098218544,-16.8773712407
123.0000000000,-0.2213311817,-17.6396871510
124.0000000000,-0.2275389773,-15.9875558441
125.0000000000,-0.2415141526,-20.6461420746
126.0000000000,-0.2467635222,-15.7366782921
127.0000000000,-0.2578813860,-19.7532061646
128.0000000000,-0.2672118081,-17.4481945026
129.0000000000,-0.2817635826,-21.5064025541
130.0000000000,-0.2943982558,-20.6389166466
131.0000000000,-0.3029101146,-17.5503719633
132.0000000000,-0.3123919301,-18.3289990309
133.0000000000,-0.3259267854,-20.7261974223
134.0000000000,-0.3389197190,-20.9091405791
135.0000000000,-0.3446528700,-15.8474609454
136.0000000000,-0.3604566836,-22.8264111973
137.0000000000,-0.3710090524,-18.6756764835
138.0000000000,-0.3651443504,-8.0859389906
139.0000000000,-0.3543376423,-4.7636629642
140.0000000000,-0.3045901169,18.0509991319
141.0000000000,-0.2483349003,26.3229395128
142.0000000000,-0.2419625831,-8.7242468297
143.0000000000,-0.2091371613,7.9685416204
144.0000000000,-0.1884951937,2.6644265677
145.0000000000,-0.1671279412,0.8828881379
146.0000000000,-0.1410741826,7.7105050513
147.0000000000,-0.1175127569,6.2261853623
148.0000000000,-0.0965997011,7.4275179035
149.0000000000,-0.0827065899,-3.9378301021
150.0000000000,-0.0742101861,-7.6378911479
151.0000000000,-0.0670023092,-7.0552477089
152.0000000000,-0.0412534728,6.1994665367
153.0000000000,-0.0293691188,-5.2449147467
154.0000000000,-0.0206306160,-7.2344235281
155.0000000000,-0.0325634370,-11.0059664284
156.0000000000,-0.0330697478,-12.8604563746
157.0000000000,-0.0259869537,-8.0839246828
158.0000000000,-0.0132949202,-4.9910350590
159.0000000000,-0.0000482123,-4.1940874316
160.0000000000,-0.0057615976,-9.8790916007
161.0000000000,-0.0039830542,-13.1802510760
162.0000000000,-0.0258582780,-25.3353996252
163.0000000000,-0.0779080451,-36.5415060419
164.0000000000,-0.0753502311,-18.9757059922
165.0000000000,-0.0823051398,-17.0527320673
166.0000000000,-0.1004930339,-24.4075496496
167.0000000000,-0.1153338947,-21.5544868045
168.0000000000,-0.1291037446,-21.0670655869
169.0000000000,-0.1470985838,-20.7533176465
170.0000000000,-0.1542309536,-17.0334971351
171.0000000000,-0.1871420842,-23.5769947812
172.0000000000,-0.2155704451,-19.7777195161
173.0000000000,-0.2160116100,-12.7610435667
174.0000000000,-0.2226156128,-16.5820330994
175.0000000000,-0.2285429898,-16.2145245040
176.0000000000,-0.2348244780,-16.3498575842
177.0000000000,-0.2430562022,-17.4532317942
178.0000000000,-0.2461568627,-14.3762340662
179.0000000000,-0.2483354091,-13.8647983226
180.0000000000,-0.2550870292,-16.6773296466
181.0000000000,-0.2552632226,-17.6422176740
182.0000000000,-0.2594941249,-15.2544658415
183.0000000000,-0.2650983882,-16.1650531640
184.0000000000,-0.2676788148,-14.2902596093
185.0000000000,-0.2801950372,-21.3704790564
186.0000000000,-0.2815834362,-13.3641506071
187.0000000000,-0.2835022434,-13.5569956373
188.0000000000,-0.2885874050,-15.5381481890
189.0000000000,-0.2971087382,-17.8904835190
190.0000000000,-0.3049147800,-17.3201000923
191.0000000000,-0.3033137546,-10.4647311701
192.0000000000,-0.3062449030,-14.3190361361
193.0000000000,-0.3134130921,-16.3553718405
194.0000000000,-0.3296342104,-21.5556047360
195.0000000000,-0.3490183037,-26.9012350629
196.0000000000,-0.3390277747,-5.7673115374
197.0000000000,-0.3383643881,-12.1744201516
198.0000000000,-0.3363663741,-11.5348266420
199.0000000000,-0.3450688644,-17.0579540796
200.0000000000,-0.3183850313,4.4163098841
201.0000000000,-0.3040116026,-0.9138513110
202.0000000000,-0.2919838535,-5.0977447295
203.0000000000,-0.2637443270,6.6596970949
204.0000000000,-0.2598388792,-10.0368138844
205.0000000000,-0.2503969994,-6.7028904827
206.0000000000,-0.2332818657,-3.3909484263
207.0000000000,-0.2160396009,6.4110961873
208.0000000000,-0.2169396912,-13.0396404253
209.0000000000,-0.2070316827,-6.1471592074
210.0000000000,-0.2043904601,-11.0336867968
211.0000000000,-0.1921901070,-4.1153391714
212.0000000000,-0.1766222607,-1.2648272228
213.0000000000,-0.1649467205,-4.2676491407
214.0000000000,-0.1551376901,-5.7868723411
215.0000000000,-0.1483398520,-6.5022538031
216.0000000000,-0.1398226518,-6.9253312018
217.0000000000,-0.1303252923,-6.0142327987
218.0000000000,-0.1135189412,-1.6111655535
219.0000000000,-0.1044856057,-6.4521127307
220.0000000000,-0.1159974868,-18.0080242201
221.0000000000,-0.1233046375,-16.3124676890
222.0000000000,-0.1336945617,-17.6822688396
223.0000000000,-0.1509788981,-21.0290188991
224.0000000000,-0.1711374926,-22.5302710280
225.0000000000,-0.2124152409,-34.0835421378
226.0000000000,-0.2167013072,-14.9317308899
227.0000000000,-0.2604072734,-33.3240279979
228.0000000000,-0.2777717258,-24.2091557266
229.0000000000,-0.2810411162,-14.6146457683
230.0000000000,-0.2778551837,-12.4347895269
231.0000000000,-0.3009875122,-30.5835391039
232.0000000000,-0.3170884645,-21.0914796204
233.0000000000,-0.3199235674,-13.9102948659
234.0000000000,-0.3322006304,-19.4637999359
235.0000000000,-0.3375736687,-15.3436101236
236.0000000000,-0.3508139760,-18.7621587223
237.0000000000,-0.3572504645,-15.4515793419
238.0000000000,-0.3567679743,-10.8052638617
239.0000000000,-0.3171330217,11.9875184133
240.0000000000,-0.3053931006,-5.3320560961
241.0000000000,-0.3012807400,-10.5083998750
242.0000000000,-0.2969173147,-10.5371883355
243.0000000000,-0.2776894465,0.3965188024
244.0000000000,-0.2572586619,2.0457611874
245.0000000000,-0.2132322122,22.3303778956
246.0000000000,-0.1978861283,-0.2731941287
247.0000000000,-0.1938335734,-10.2559892811
248.0000000000,-0.1815287080,-4.3517079396
249.0000000000,-0.1811050344,-10.5967018671
250.0000000000,-0.1708739808,-6.5707084188
251.0000000000,-0.1609096791,-6.0677555935
252.0000000000,-0.1592994077,-11.6464468290
253.0000000000,-0.1577573924,-11.5897853843
254.0000000000,-0.1433985943,-1.9031672199
255.0000000000,-0.1369189532,-8.3737458689
256.0000000000,-0.1294880887,-8.2690334692
257.0000000000,-0.1234558907,-9.1164891248
258.0000000000,-0.1085884451,-1.2944633541
259.0000000000,-0.0932833771,1.8632156814
260.0000000000,-0.0748185241,-1.8137066341
261.0000000000,-0.0741174773,-12.1439846211
262.0000000000,-0.0655911574,-7.7846433294
263.0000000000,-0.0578665582,-8.0596506838
264.0000000000,-0.0583354829,-12.8344052836
265.0000000000,-0.0574999673,-12.1316799406
266.0000000000,-0.0565251254,-12.0206551568
267.0000000000,-0.0728973307,-20.1156853159
268.0000000000,-0.0918410011,-21.0620133303
269.0000000000,-0.1145527551,-21.0038535388
270.0000000000,-0.1390919583,-23.5366304831
271.0000000000,-0.1740923292,-26.7356616294
272.0000000000,-0.1926877640,-22.9829678492
273.0000000000,-0.1993510275,-16.4374755329
274.0000000000,-0.2107667262,-19.5848906395
275.0000000000,-0.2208683729,-19.3507202066
276.0000000000,-0.2426913109,-24.7777818870
277.0000000000,-0.2561664683,-20.5433790387
278.0000000000,-0.2664494479,-18.4988181586
279.0000000000,-0.2841846959,-22.4868959306
280.0000000000,-0.2908265942,-16.2805842844
281.0000000000,-0.2972874412,-16.4330758127
282.0000000000,-0.3034543710,-16.0308052068
283.0000000000,-0.3094490958,-15.3939672360
284.0000000000,-0.3144975372,-14.9237460237
285.0000000000,-0.3202623521,-15.0840423280
286.0000000000,-0.3204158990,-12.6437438697
287.0000000000,-0.3229893099,-13.6888773072
288.0000000000,-0.3260957871,-12.1726012079
289.0000000000,-0.3085322020,-1.0412631047
290.0000000000,-0.2591560736,25.2449928697
291.0000000000,-0.2288251980,15.1913204248
292.0000000000,-0.2317693189,-14.2241932843
293.0000000000,-0.2203869441,-5.8962432784
294.0000000000,-0.1861871897,20.5698340443
295.0000000000,-0.1514307905,14.2169501370
296.0000000000,-0.1225430832,22.9195913353
297.0000000000,-0.1074335711,-3.1966459667
298.0000000000,-0.0912179503,-2.7231245884
299.0000000000,-0.0785067297,-4.3262910895
300.0000000000,-0.0676387161,-5.4763435504
301.0000000000,-0.0499084145,-5.9144877745
302.0000000000,-0.0574125597,-16.7260245534
303.0000000000,-0.0576635589,-12.6899224684
304.0000000000,-0.0730790408,-19.9205855169
305.0000000000,-0.0964522207,-22.2525797487
306.0000000000,-0.1211047549,-22.7170761819
307.0000000000,-0.1636221327,-27.6100006166
308.0000000000,-0.2252026111,-42.4866565655
309.0000000000,-0.2719681577,-54.0394649638
310.0000000000,-0.2866526756,-20.1142422039
311.0000000000,-0.3067413467,-27.3982141750
312.0000000000,-0.3180057367,-26.2262731062
313.0000000000,-0.3333247460,-31.3518927005
314.0000000000,-0.3503681397,-32.5428691134
315.0000000000,-0.3696254821,-26.9556970523
316.0000000000,-0.3867788534,-25.1263751503
317.0000000000,-0.4080191824,-26.7046693171
318.0000000000,-0.4121307232,-15.8280221549
319.0000000000,-0.4107228147,-11.5524432908
320.0000000000,-0.3787482159,9.5573983936
321.0000000000,-0.3481532082,3.9183540782
322.0000000000,-0.3516076612,-14.0222923733
323.0000000000,-0.3464296745,-10.3078333483
324.0000000000,-0.3373370650,-7.2432732577
325.0000000000,-0.3291031599,-9.7676794077
326.0000000000,-0.3178152564,-8.7730255940
327.0000000000,-0.2548294751,11.8970665882
328.0000000000,-0.2059548836,13.9335325901
329.0000000000,-0.1866675561,6.9099910486
330.0000000000,-0.1761361377,-5.9268114911
331.0000000000,-0.1793100138,-14.6755561313
332.0000000000,-0.1669455293,-4.6250498627
333.0000000000,-0.1609881220,-8.5627058058
334.0000000000,-0.1666041886,-16.2146028524
335.0000000000,-0.1686105772,-13.9857241072
336.0000000000,-0.1605267302,-7.6618007249
337.0000000000,-0.1564276024,-9.3181701961
338.0000000000,-0.1462287379,-4.3276239257
339.0000000000,-0.1354250772,-3.1165832664
340.0000000000,-0.1172956192,1.2116558324
341.0000000000,-0.1140047295,-10.6754926682
342.0000000000,-0.1074838534,-8.9347313923
343.0000000000,-0.0906862325,-4.0128399279
344.0000000000,-0.0911235147,-12.8187662024
345.0000000000,-0.0809110098,-6.8540382993
346.0000000000,-0.0923611235,-17.8379300257
347.0000000000,-0.0830208858,-5.0079950892
348.0000000000,-0.1329112564,-30.3620376351
349.0000000000,-0.1962563495,-46.5084984379
350.0000000000,-0.2153322342,-23.6432552008
351.0000000000,-0.2417468047,-25.0554463377
352.0000000000,-0.2599264498,-23.1690480984
353.0000000000,-0.2707796856,-19.7082942008
354.0000000000,-0.2862985989,-21.4323749702
355.0000000000,-0.3001725279,-21.6918302921
356.0000000000,-0.3110009061,-18.8460750209
357.0000000000,-0.3269954495,-22.0052906723
358.0000000000,-0.3302619627,-14.4766143846
359.0000000000,-0.3407953950,-18.9905306315
360.0000000000,-0.3508242020,-18.8025399477
361.0000000000,-0.3661751038,-22.8200602461
362.0000000000,-0.3765918434,-18.8508350780
363.0000000000,-0.3911701777,-21.4660564644
364.0000000000,-0.4048233028,-20.9570935149
365.0000000000,-0.4123975362,-17.3257093896
366.0000000000,-0.4257511987,-20.8486807226
367.0000000000,-0.4146953718,-7.2267932245
368.0000000000,-0.3650221390,25.1163481835
369.0000000000,-0.3205135875,4.1799116627
370.0000000000,-0.2616579909,2.8644974238
371.0000000000,-0.2607545824,-12.0552350494
372.0000000000,-0.2591978173,-11.6583579764
373.0000000000,-0.2530873566,-9.2793086602
374.0000000000,-0.2532424610,-12.6620324014
375.0000000000,-0.2536092356,-12.7642817122
376.0000000000,-0.2413490879,-3.9300191363
377.0000000000,-0.2304596664,-4.6764956940
378.0000000000,-0.2162330842,-1.4048216229
379.0000000000,-0.2108860161,-8.8558640665
380.0000000000,-0.2071374976,-6.4520624025
381.0000000000,-0.1900755004,-1.1338218885
382.0000000000,-0.1888310242,-11.8779269261
383.0000000000,-0.1825394217,-8.7973763511
384.0000000000,-0.1794024052,-10.7107875147
385.0000000000,-0.1781051767,-11.7812009373
386.0000000000,-0.1682803966,-6.8536616072
387.0000000000,-0.1662261034,-11.3928760524
388.0000000000,-0.1585931170,-7.7551623774
389.0000000000,-0.1477125188,-4.9741485836
390.0000000000,-0.1324678709,2.8518182597
391.0000000000,-0.1225691331,-4.3513414955
392.0000000000,-0.1124542553,-6.8860174577
393.0000000000,-0.1072073507,-9.5216294118
394.0000000000,-0.0911063556,-3.5149238257
395.0000000000,-0.0885282295,-11.1237251602
396.0000000000,-0.0816745125,-8.9949396725
397.0000000000,-0.0801818979,-11.6736077919
398.0000000000,-0.0790961053,-11.9606778230
399.0000000000,-0.0787439049,-12.3303961481
400.0000000000,-0.0682260052,-5.4434936985
401.0000000000,-0.0666637274,-11.1777571439
402.0000000000,-0.0843499418,-18.8024058428
403.0000000000,-0.1075529932,-22.0102816479
404.0000000000,-0.1439142134,-26.3407425988
405.0000000000,-0.1626103756,-21.3403162715
406.0000000000,-0.1842615202,-23.0434278685
407.0000000000,-0.2238797568,-29.3053216424
408.0000000000,-0.2406051351,-22.4247359514
409.0000000000,-0.2589665848,-25.4540164542
410.0000000000,-0.2753076454,-22.1972206129
411.0000000000,-0.2966796621,-24.6016748295
412.0000000000,-0.3185566986,-26.9315986943
413.0000000000,-0.3337936483,-21.1508108521
414.0000000000,-0.3516741519,-22.6423541288
415.0000000000,-0.3661426153,-21.0734200469
416.0000000000,-0.3741834432,-17.2425271345
417.0000000000,-0.3926737245,-23.2358905163
418.0000000000,-0.4072813978,-21.5940113373
419.0000000000,-0.4208389769,-19.9246906511
420.0000000000,-0.4324920283,-19.5007152540
421.0000000000,-0.4468182232,-21.3973126944
422.0000000000,-0.4355884616,-4.7540832737
