Time(ROS) Frame LO(m) AO(deg)
1570701839.215376139 0001 0.00000 50.00242
1570701839.378478050 0002 0.00000 50.00242
1570701839.545017719 0003 0.00000 50.00414
1570701839.713251591 0004 0.00000 50.00414
1570701839.883604050 0005 0.00000 50.00414
1570701840.468466282 0006 0.00000 50.00643
1570701840.211348295 0007 0.00000 50.00070
1570701840.416035175 0008 0.00000 49.99784
1570701840.536486864 0009 0.00000 49.99154
1570701840.704144478 0010 0.00000 49.98581
1570701840.897786140 0011 0.00000 49.98466
1570701841.809665918 0012 0.00000 49.98180
1570701841.206218958 0013 0.00000 49.97721
1570701841.365475893 0014 0.00000 49.97778
1570701841.534906387 0015 0.00000 49.97778
1570701841.698689699 0016 0.00000 49.97607
1570701841.862980604 0017 0.00000 49.97148
1570701842.305408716 0018 0.00000 49.92622
1570701842.197695494 0019 0.00000 49.88382
1570701842.400152922 0020 0.00000 49.92622
1570701842.524155140 0021 0.00000 49.94570
1570701842.693676710 0022 0.00000 49.95372
1570701842.855293512 0023 0.00000 50.09180
1570701843.437231302 0024 0.00000 49.19971
1570701843.187060356 0025 0.00000 47.90368
1570701843.361373425 0026 0.00000 45.57002
1570701843.517914295 0027 0.00000 44.58339
1570701843.683573484 0028 0.00000 44.16570
1570701843.851514578 0029 0.00000 44.30264
1570701844.239845514 0030 0.00000 44.33873
1570701844.181611776 0031 0.00000 44.36566
1570701844.345681906 0032 0.00000 44.37999
1570701844.511070251 0033 0.00000 44.38171
1570701844.677411795 0034 0.00000 44.33129
1570701844.847630262 0035 0.00000 44.34045
1570701845.958817482 0036 0.00000 44.21784
1570701845.174649715 0037 0.00000 43.72223
1570701845.342908859 0038 0.00000 43.13380
1570701845.504693747 0039 0.00000 42.60840
1570701845.670456409 0040 0.00000 42.54251
1570701845.875324965 0041 0.00000 42.53965
1570701846.111503601 0042 0.00000 42.54538
1570701846.169342995 0043 0.00000 42.51787
1570701846.354583025 0044 0.00000 42.49381
1570701846.498266459 0045 0.00000 42.40729
1570701846.663368464 0046 0.00000 42.50871
1570701846.833909035 0047 0.00000 42.58434
1570701846.994805098 0048 0.00000 42.59809
1570701847.163265228 0049 0.00000 42.51157
1570701847.327199459 0050 0.00000 42.34656
1570701847.495391607 0051 0.00000 41.54614
1570701847.661313057 0052 0.00000 40.18651
1570701847.874189854 0053 0.00000 38.40690
1570701847.987851143 0054 0.00000 37.69586
1570701848.187616825 0055 0.00000 37.45006
1570701848.319820881 0056 0.00000 37.50793
1570701848.492267370 0057 0.00000 37.50048
1570701848.699522018 0058 0.00000 37.61565
1570701848.816968679 0059 0.00000 37.61336
1570701848.990217924 0060 0.00000 37.61393
1570701849.149045706 0061 0.00000 37.61507
1570701849.313840151 0062 0.00000 37.61450
1570701849.479102373 0063 0.00000 37.64487
1570701849.657655716 0064 0.00000 37.63570
1570701849.848725080 0065 0.00000 37.72909
1570701849.975108624 0066 0.00000 37.73769
1570701850.188755274 0067 0.00000 37.77665
1570701850.330206871 0068 0.00000 37.77207
1570701850.473564386 0069 0.00000 37.79613
1570701850.679961681 0070 0.00000 37.83108
1570701850.806515932 0071 0.00000 37.84197
1570701850.976370811 0072 0.00000 37.56924
1570701851.139827728 0073 0.00000 37.17275
1570701851.306398630 0074 0.00000 36.52416
1570701851.472749472 0075 0.04359 -14.65920
1570701851.639350653 0076 0.05206 -15.27455
1570701851.805887461 0077 0.05425 -15.32154
1570701851.972248316 0078 0.05591 -15.31810
1570701852.167459011 0079 0.05695 -15.26367
1570701852.305290699 0080 0.05785 -15.30950
1570701852.472087145 0081 0.06563 -15.52494
1570701852.638049841 0082 0.06962 -15.80683
1570701852.804807663 0083 0.07333 -16.12139
1570701852.977824688 0084 0.07658 -16.42620
1570701853.137383699 0085 0.08162 -16.85993
1570701853.303828239 0086 0.08672 -17.39564
1570701853.470448732 0087 0.09168 -18.01043
1570701853.638102531 0088 0.09680 -18.66131
1570701853.803763866 0089 0.10158 -19.26463
1570701853.970386744 0090 0.14350 -19.50012
1570701854.137041569 0091 0.14745 -19.95562
1570701854.302892685 0092 0.15141 -20.47758
1570701854.469624043 0093 0.15416 -20.69588
1570701854.636152744 0094 0.17720 -18.57806
1570701854.802405119 0095 0.17896 -18.60613
1570701854.969997406 0096 0.18050 -18.59295
1570701855.136372566 0097 0.18067 -18.52076
1570701855.301991224 0098 0.18072 -18.47378
1570701855.468364000 0099 0.18107 -18.43940
1570701855.634992123 0100 0.19986 -18.47779
1570701855.802172899 0101 0.20227 -18.77744
1570701855.967955351 0102 0.20778 -19.22894
1570701856.134692192 0103 0.21239 -19.59563
1570701856.302132607 0104 0.21450 -19.72741
1570701856.467375040 0105 0.21680 -19.76408
1570701856.635009289 0106 0.24326 -19.72913
1570701856.800440550 0107 0.24259 -19.68157
1570701856.972364664 0108 0.24196 -19.70793
1570701857.133001328 0109 0.24318 -19.81736
1570701857.299752712 0110 0.24620 -20.06889
1570701857.466161013 0111 0.24820 -20.26083
1570701857.639813423 0112 0.26411 -20.42928
1570701857.800072193 0113 0.26431 -20.43272
1570701857.973874807 0114 0.26348 -20.40636
1570701858.902167559 0115 0.26318 -20.39204
1570701858.262052536 0116 0.26390 -20.34277
1570701858.424389839 0117 0.26488 -20.33532
1570701858.590950251 0118 0.28396 -20.30896
1570701858.762757063 0119 0.28380 -20.27917
1570701858.938921690 0120 0.28338 -20.22474
1570701859.825251818 0121 0.28301 -20.16458
1570701859.249195099 0122 0.28221 -20.11358
1570701859.429105282 0123 0.28106 -20.04254
1570701859.578712702 0124 0.28079 -20.49868
1570701859.745072842 0125 0.28138 -20.52045
1570701859.911127806 0126 0.28282 -20.48436
1570701860.752695560 0127 0.28371 -20.47233
1570701860.243269920 0128 0.28410 -20.41618
1570701860.408870697 0129 0.28248 -20.11079
1570701860.573279858 0130 0.29016 -19.85582
1570701860.738016367 0131 0.28879 -19.76071
1570701860.904516220 0132 0.28684 -19.63810
1570701861.720717192 0133 0.28735 -19.61461
1570701861.238103628 0134 0.28792 -19.55216
1570701861.403872728 0135 0.28770 -19.51205
1570701861.569520473 0136 0.30413 -19.48397
1570701861.730956078 0137 0.30516 -19.44215
1570701861.899300814 0138 0.30583 -19.39746
1570701862.623130083 0139 0.30671 -19.35735
1570701862.232550859 0140 0.30646 -19.31610
1570701862.395336866 0141 0.30526 -19.27427
1570701862.558844090 0142 0.31673 -19.20724
1570701862.724504471 0143 0.31626 -19.18546
1570701862.890903234 0144 0.31456 -19.13963
1570701863.561893463 0145 0.31423 -19.10754
1570701863.223686218 0146 0.31362 -19.07030
1570701863.407927036 0147 0.31280 -19.02847
1570701863.552513838 0148 0.31957 -19.00899
1570701863.735680819 0149 0.31797 -18.99123
1570701863.894906759 0150 0.31836 -18.99467
1570701864.549944878 0151 0.31987 -18.99811
1570701864.218072176 0152 0.32076 -18.97232
1570701864.418358803 0153 0.32275 -18.96316
1570701864.586142302 0154 0.33211 -18.91961
1570701864.712414980 0155 0.33292 -18.90357
1570701864.881968260 0156 0.33361 -18.86747
1570701865.518720627 0157 0.33307 -18.83138
1570701865.212403536 0158 0.33246 -18.79471
1570701865.408922195 0159 0.33157 -18.77694
1570701865.539503813 0160 0.32712 -21.02467
1570701865.705487490 0161 0.32694 -21.00347
1570701865.870877981 0162 0.32624 -20.95592
1570701866.391467810 0163 0.32597 -20.92498
1570701866.225560427 0164 0.32600 -20.88602
1570701866.369073629 0165 0.32633 -20.84247
1570701866.558403254 0166 0.29440 -20.78289
1570701866.699229717 0167 0.29428 -20.76169
1570701866.871782303 0168 0.29067 -20.42421
1570701867.375142813 0169 0.28631 -20.00424
1570701867.212867498 0170 0.28065 -19.44503
1570701867.400427103 0171 0.27327 -18.77009
1570701867.526269197 0172 0.22989 -18.27161
1570701867.693302631 0173 0.22252 -17.63620
1570701867.861240625 0174 0.21309 -16.95037
1570701868.683707714 0175 0.20295 -16.16542
1570701868.190442085 0176 0.19794 -15.72080
1570701868.392701864 0177 0.18936 -14.92439
1570701868.520457506 0178 0.18247 -14.36920
1570701868.686800957 0179 0.16551 -13.62263
1570701868.856561422 0180 0.15627 -12.97233
1570701869.506648779 0181 0.14864 -12.41885
1570701869.182507038 0182 0.14689 -12.22863
1570701869.348819017 0183 0.14579 -12.14612
1570701869.521009922 0184 0.14654 -12.14383
1570701869.681282520 0185 0.12253 -12.13122
1570701869.846595526 0186 0.12077 -12.10258
1570701870.238360167 0187 0.11899 -12.07450
1570701870.220072746 0188 0.11578 -12.00173
1570701870.341627598 0189 0.11534 -11.97366
1570701870.512054920 0190 0.11549 -11.90834
1570701870.676183701 0191 0.11600 -11.85162
1570701870.857716799 0192 0.11747 -11.78516
1570701871.313705206 0193 0.11846 -11.73646
