Time(Sec), LO(m), AO(deg)
1.0000000000,0.0000000000,0.0000000000
2.0000000000,0.0000000000,134.2154636017
3.0000000000,0.0000000000,24.5544334611
4.0000000000,0.0000000000,-152.1456440216
5.0000000000,0.0000000000,73.6257957026
6.0000000000,0.0000000000,-116.1692157899
7.0000000000,0.0000000000,148.6056646744
8.0000000000,0.0000000000,-1.9546725568
9.0000000000,0.0000000000,-70.0166950230
10.0000000000,0.0000000000,53.7599167654
11.0000000000,0.0000000000,123.0762897715
12.0000000000,0.0000000000,163.2078309872
13.0000000000,0.0000000000,142.3165530212
14.0000000000,0.0000000000,-21.3321998955
15.0000000000,0.0000000000,127.2897131618
16.0000000000,0.0000000000,154.9053757180
17.0000000000,0.0000000000,-106.2835570083
18.0000000000,0.0000000000,-156.4763712348
19.0000000000,0.0000000000,-109.8240900698
20.0000000000,0.0000000000,91.7312208029
21.0000000000,0.0000000000,-3.3543038132
22.0000000000,0.0000000000,143.7374194378
23.0000000000,0.0000000000,-161.2611367497
24.0000000000,0.0000000000,138.3990707809
25.0000000000,0.0000000000,-54.5491880972
26.0000000000,0.0000000000,-2.8857254424
27.0000000000,0.0000000000,51.7464934660
28.0000000000,-0.1275505712,-4.2774784774
29.0000000000,-0.1226956233,-0.9744691450
30.0000000000,-0.0736723964,-8.0282937336
31.0000000000,-0.0515447911,-3.0105524750
32.0000000000,-0.0320241954,-3.5818924102
33.0000000000,-0.0336231800,0.2880177772
34.0000000000,-0.0421745424,1.6686632624
35.0000000000,-0.0374266820,0.8320706430
36.0000000000,-0.0557350856,3.4550261347
37.0000000000,-0.0627168625,1.2939476918
38.0000000000,-0.0596315768,-0.4762160091
39.0000000000,-0.0477729626,-1.1094110497
40.0000000000,-0.0383765123,-1.3858826244
41.0000000000,-0.0253060786,-1.9739569459
42.0000000000,-0.0271340487,-2.4818914769
43.0000000000,-0.0072191015,-3.1106245829
44.0000000000,0.0126673775,-2.9387452263
45.0000000000,0.0328353387,-2.5856352250
46.0000000000,0.0272789545,0.8740138397
47.0000000000,0.0405276905,-1.9967737972
48.0000000000,0.0487185394,-1.2623905243
49.0000000000,0.0727314303,-2.5748593028
50.0000000000,0.0658244527,1.0553472693
51.0000000000,0.0668079537,-0.1496405298
52.0000000000,0.0730004433,-1.2084409109
53.0000000000,0.0511890331,3.4068954695
54.0000000000,0.0279228151,3.7879439955
55.0000000000,0.0233134850,0.7070022749
56.0000000000,0.0183211852,0.9029599347
57.0000000000,0.0228391519,-0.6951184304
58.0000000000,0.0021594570,3.3569758048
59.0000000000,-0.0010084722,0.5124547220
60.0000000000,-0.0005117623,-0.0740924963
61.0000000000,-0.0186132856,2.8593106849
62.0000000000,-0.0186889461,0.2114375123
63.0000000000,-0.0127191110,-0.9188701665
64.0000000000,-0.0223465458,1.5839986786
65.0000000000,-0.0242674318,-0.7064454174
66.0000000000,-0.0094377000,-2.2074605165
67.0000000000,-0.0033840322,-0.9359684324
68.0000000000,-0.0065115864,0.5072547682
69.0000000000,-0.0098596797,1.0399646339
70.0000000000,-0.0062681402,-0.5645879433
71.0000000000,-0.0300579881,3.9919823636
72.0000000000,-0.0298099177,0.3061793843
73.0000000000,-0.0320989271,0.3537535408
74.0000000000,-0.0184795684,-2.0420977155
75.0000000000,-0.0377710169,1.6721039501
76.0000000000,-0.0321115045,-0.8586366239
