Time(Sec), Frame, LO(m), AO(deg)
0.00000,0001,0.00000,51.47612
0.01026,0002,0.00000,51.45550
0.01667,0003,0.00000,51.45550
0.02228,0004,0.00000,51.45550
0.03476,0005,0.00000,51.45263
0.03875,0006,0.00000,51.45263
0.15536,0007,0.00000,51.44347
0.31904,0008,0.00000,51.43602
0.49491,0009,0.00000,51.43487
0.64468,0010,0.00000,51.42341
0.81430,0011,0.00000,51.42341
0.97661,0012,0.00000,51.42341
1.14171,0013,0.00000,51.42399
1.32179,0014,0.00000,51.42055
1.47525,0015,0.00000,51.41539
1.68022,0016,0.00000,51.40622
1.80367,0017,0.00000,51.40622
2.01371,0018,0.00000,51.40622
2.18850,0019,0.00000,51.40737
2.30670,0020,0.00000,51.40737
2.49706,0021,0.00000,51.38903
2.63279,0022,0.00000,51.38273
2.84476,0023,0.00000,51.38273
2.96504,0024,0.00000,51.38273
3.13624,0025,0.00000,51.38273
3.30411,0026,0.00000,51.38273
3.51724,0027,0.00000,51.36898
3.62938,0028,0.00000,51.36898
3.79700,0029,0.00000,51.36898
3.96383,0030,0.00000,51.36784
4.13339,0031,0.00000,51.36784
4.31946,0032,0.00000,51.36268
4.46867,0033,0.00000,51.36268
4.62979,0034,0.00000,51.36268
4.79932,0035,0.00000,51.36039
4.96562,0036,0.00000,51.36039
5.13341,0037,0.00000,51.34263
5.34030,0038,0.00000,51.34263
5.46614,0039,0.00000,51.34377
5.63380,0040,0.00000,51.34377
5.79758,0041,0.00000,51.34205
5.96583,0042,0.00000,51.34606
6.13836,0043,0.00000,51.34606
6.29883,0044,0.00000,51.34606
6.48945,0045,0.00000,51.34205
6.64111,0046,-0.08654,-1.41836
6.79740,0047,-0.08654,-1.41836
6.96611,0048,-0.08664,-1.42753
7.13485,0049,-0.08664,-1.42753
7.32240,0050,-0.08664,-1.42753
7.46282,0051,-0.08664,-1.42753
7.63032,0052,-0.08664,-1.42581
7.80389,0053,-0.08664,-1.42581
7.96419,0054,-0.03859,-1.42581
