Img_Time(Sec),GPS_Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
0.00000,0.00000,59.6606171578,10.6766771483,6614808.975,594470.767
0.01026,0.00000,59.6606171578,10.6766771483,6614808.975,594470.767
0.01667,0.00000,59.6606171578,10.6766771483,6614808.975,594470.767
0.02228,0.00000,59.6606171578,10.6766771483,6614808.975,594470.767
0.03476,0.00000,59.6606171578,10.6766771483,6614808.975,594470.767
0.03875,0.00000,59.6606171578,10.6766771483,6614808.975,594470.767
0.15536,0.00000,59.6606171578,10.6766771483,6614808.975,594470.767
0.31904,0.00000,59.6606171578,10.6766771483,6614808.975,594470.767
0.49491,0.00000,59.6606171578,10.6766771483,6614808.975,594470.767
0.64468,0.00000,59.6606171578,10.6766771483,6614808.975,594470.767
0.81430,0.00000,59.6606171578,10.6766771483,6614808.975,594470.767
0.97661,1.79950,59.6606171480,10.6766771867,6614808.974,594470.769
1.14171,1.79950,59.6606171480,10.6766771867,6614808.974,594470.769
1.32179,1.79950,59.6606171480,10.6766771867,6614808.974,594470.769
1.47525,1.79950,59.6606171480,10.6766771867,6614808.974,594470.769
1.68022,1.79950,59.6606171480,10.6766771867,6614808.974,594470.769
1.80367,1.79950,59.6606171480,10.6766771867,6614808.974,594470.769
2.01371,1.79950,59.6606171480,10.6766771867,6614808.974,594470.769
2.18850,1.79950,59.6606171480,10.6766771867,6614808.974,594470.769
2.30670,1.79950,59.6606171480,10.6766771867,6614808.974,594470.769
2.49706,2.90584,59.6606170480,10.6766771183,6614808.963,594470.766
2.63279,2.90584,59.6606170480,10.6766771183,6614808.963,594470.766
2.84476,2.90584,59.6606170480,10.6766771183,6614808.963,594470.766
2.96504,2.90584,59.6606170480,10.6766771183,6614808.963,594470.766
3.13624,2.90584,59.6606170480,10.6766771183,6614808.963,594470.766
3.30411,2.90584,59.6606170480,10.6766771183,6614808.963,594470.766
3.51724,3.86523,59.6606171168,10.6766771500,6614808.971,594470.767
3.62938,3.86523,59.6606171168,10.6766771500,6614808.971,594470.767
3.79700,3.86523,59.6606171168,10.6766771500,6614808.971,594470.767
3.96383,3.86523,59.6606171168,10.6766771500,6614808.971,594470.767
4.13339,3.86523,59.6606171168,10.6766771500,6614808.971,594470.767
4.31946,4.67826,59.6606170820,10.6766771717,6614808.967,594470.769
4.46867,4.67826,59.6606170820,10.6766771717,6614808.967,594470.769
4.62979,4.67826,59.6606170820,10.6766771717,6614808.967,594470.769
4.79932,4.67826,59.6606170820,10.6766771717,6614808.967,594470.769
4.96562,4.67826,59.6606170820,10.6766771717,6614808.967,594470.769
5.13341,4.67826,59.6606170820,10.6766771717,6614808.967,594470.769
5.34030,4.67826,59.6606170820,10.6766771717,6614808.967,594470.769
5.46614,6.09118,59.6606174160,10.6766781617,6614809.006,594470.823
5.63380,6.09118,59.6606174160,10.6766781617,6614809.006,594470.823
5.79758,6.09118,59.6606174160,10.6766781617,6614809.006,594470.823
5.96583,6.09118,59.6606174160,10.6766781617,6614809.006,594470.823
6.13836,6.09118,59.6606174160,10.6766781617,6614809.006,594470.823
6.29883,6.09118,59.6606174160,10.6766781617,6614809.006,594470.823
6.48945,6.09118,59.6606174160,10.6766781617,6614809.006,594470.823
6.64111,7.03742,59.6606185073,10.6766817217,6614809.132,594471.021
6.79740,7.03742,59.6606185073,10.6766817217,6614809.132,594471.021
6.96611,7.03742,59.6606185073,10.6766817217,6614809.132,594471.021
7.13485,7.03742,59.6606185073,10.6766817217,6614809.132,594471.021
7.32240,7.03742,59.6606185073,10.6766817217,6614809.132,594471.021
7.46282,7.03742,59.6606185073,10.6766817217,6614809.132,594471.021
7.63032,7.03742,59.6606185073,10.6766817217,6614809.132,594471.021
7.80389,7.03742,59.6606185073,10.6766817217,6614809.132,594471.021
7.96419,8.78360,59.6606215845,10.6766887083,6614809.485,594471.406
8.13937,8.78360,59.6606215845,10.6766887083,6614809.485,594471.406
8.32280,8.78360,59.6606215845,10.6766887083,6614809.485,594471.406
8.46384,8.78360,59.6606215845,10.6766887083,6614809.485,594471.406
8.64137,8.78360,59.6606215845,10.6766887083,6614809.485,594471.406
8.79948,8.78360,59.6606215845,10.6766887083,6614809.485,594471.406
8.98728,8.78360,59.6606215845,10.6766887083,6614809.485,594471.406
9.14587,8.78360,59.6606215845,10.6766887083,6614809.485,594471.406
9.31438,8.78360,59.6606215845,10.6766887083,6614809.485,594471.406
9.46513,8.78360,59.6606215845,10.6766887083,6614809.485,594471.406
9.63258,8.78360,59.6606215845,10.6766887083,6614809.485,594471.406
9.79796,10.64934,59.6606221438,10.6766902000,6614809.549,594471.488
9.96872,10.64934,59.6606221438,10.6766902000,6614809.549,594471.488
10.15650,10.64934,59.6606221438,10.6766902000,6614809.549,594471.488
10.30554,10.64934,59.6606221438,10.6766902000,6614809.549,594471.488
10.46515,10.64934,59.6606221438,10.6766902000,6614809.549,594471.488
10.63163,10.64934,59.6606221438,10.6766902000,6614809.549,594471.488
10.79872,10.64934,59.6606221438,10.6766902000,6614809.549,594471.488
10.98145,10.64934,59.6606221438,10.6766902000,6614809.549,594471.488
11.13128,10.64934,59.6606221438,10.6766902000,6614809.549,594471.488
11.32566,10.64934,59.6606221438,10.6766902000,6614809.549,594471.488
11.46308,10.64934,59.6606221438,10.6766902000,6614809.549,594471.488
11.63053,12.58701,59.6606244198,10.6766954367,6614809.810,594471.777
11.80033,12.58701,59.6606244198,10.6766954367,6614809.810,594471.777
11.96621,12.58701,59.6606244198,10.6766954367,6614809.810,594471.777
