Time(Sec),Roll(rad),Pitch(rad),Yaw(rad),A_x(m/s2),A_y(m/s2),A_z(m/s2)
0.000000,0.108347,-0.005881,3.057101,0.081187,1.043831,9.703853
0.000003,0.108362,-0.005880,3.057101,0.078919,1.050796,9.705504
0.000046,0.108358,-0.005883,3.057067,0.058060,1.052677,9.697652
0.000049,0.108365,-0.005877,3.057053,0.082997,1.025715,9.709581
0.000051,0.108369,-0.005875,3.057076,0.072801,1.028523,9.711374
0.000054,0.108350,-0.005886,3.057081,0.081536,1.028818,9.706567
0.000143,0.108364,-0.005890,3.057119,0.084031,1.031673,9.718495
0.000181,0.108361,-0.005885,3.057065,0.070374,1.033658,9.692177
0.000184,0.108354,-0.005880,3.057028,0.085362,1.024107,9.718643
0.000225,0.108373,-0.005886,3.057024,0.074287,1.035612,9.699997
0.000239,0.108407,-0.005891,3.057012,0.070936,1.022345,9.709326
0.000243,0.108414,-0.005891,3.057029,0.073175,1.013836,9.694266
0.000320,0.108423,-0.005917,3.057022,0.082062,1.029453,9.706919
0.000677,0.108407,-0.005929,3.056936,0.074468,1.027950,9.708966
0.000803,0.108433,-0.005928,3.056932,0.083620,1.031005,9.694704
0.000834,0.108434,-0.005946,3.056949,0.083061,1.036640,9.705814
0.000839,0.108451,-0.005946,3.056931,0.076971,1.036655,9.703496
0.000844,0.108435,-0.005936,3.056941,0.087756,1.040195,9.704126
0.000852,0.108449,-0.005947,3.056976,0.069641,1.048717,9.705387
0.000859,0.108460,-0.005965,3.056987,0.079992,1.038179,9.705432
0.000884,0.108452,-0.005971,3.056988,0.072077,1.049742,9.704442
0.000887,0.108428,-0.005987,3.056961,0.062797,1.051902,9.702611
0.000892,0.108399,-0.005999,3.056928,0.076370,1.045995,9.714602
0.000899,0.108377,-0.005992,3.056930,0.077300,1.057548,9.689714
0.000913,0.108400,-0.006008,3.056954,0.068848,1.067196,9.706048
0.000917,0.108377,-0.006017,3.056988,0.084364,1.054920,9.699861
0.000992,0.108372,-0.006006,3.057002,0.075773,1.063977,9.716099
0.001013,0.108335,-0.006007,3.057010,0.077471,1.047359,9.709656
0.001016,0.108331,-0.006032,3.056974,0.075803,1.050898,9.711070
0.001018,0.108326,-0.006035,3.056993,0.080621,1.059137,9.701523
0.001057,0.108325,-0.006055,3.056953,0.074649,1.052876,9.709013
0.001198,0.108293,-0.006060,3.056961,0.073310,1.044579,9.704817
0.001402,0.108266,-0.006061,3.056939,0.079419,1.040601,9.710402
0.001488,0.108253,-0.006064,3.056921,0.077172,1.033075,9.694355
0.001493,0.108276,-0.006048,3.056945,0.070442,1.041304,9.705055
0.001713,0.108274,-0.006063,3.056901,0.080641,1.018802,9.708996
0.001731,0.108262,-0.006060,3.056883,0.081557,1.020663,9.712378
0.001961,0.108295,-0.006046,3.056859,0.084213,1.028244,9.695684
0.002097,0.108291,-0.006031,3.056819,0.071123,1.036662,9.714976
0.002295,0.108272,-0.006041,3.056772,0.071712,1.036953,9.705685
0.002556,0.108267,-0.006039,3.056822,0.084897,1.027493,9.700171
0.002684,0.108268,-0.006049,3.056787,0.077905,1.024549,9.707161
0.002702,0.108301,-0.006030,3.056774,0.075134,1.038414,9.708199
0.002706,0.108303,-0.006039,3.056742,0.076445,1.031961,9.714499
0.024373,0.108324,-0.006040,3.056738,0.081715,1.039199,9.707838
0.024385,0.108340,-0.006033,3.056711,0.073419,1.038444,9.707006
0.029197,0.108351,-0.006048,3.056706,0.072236,1.044960,9.719411
0.032844,0.108360,-0.006056,3.056694,0.083155,1.046163,9.704804
0.053158,0.108366,-0.006035,3.056700,0.074193,1.052806,9.708403
0.053164,0.108349,-0.006047,3.056691,0.074258,1.051546,9.697569
0.064310,0.108375,-0.006056,3.056735,0.076042,1.057281,9.709096
0.073892,0.108393,-0.006053,3.056745,0.069561,1.050555,9.703337
0.081548,0.108383,-0.006044,3.056720,0.076105,1.068927,9.697988
0.093216,0.108358,-0.006050,3.056684,0.070885,1.053293,9.707208
0.107310,0.108327,-0.006068,3.056651,0.078521,1.055678,9.704813
0.115881,0.108339,-0.006084,3.056615,0.068612,1.044241,9.695868
0.129521,0.108342,-0.006082,3.056573,0.072889,1.053784,9.707197
0.135139,0.108346,-0.006098,3.056519,0.071741,1.047008,9.706491
0.148756,0.108339,-0.006100,3.056531,0.068685,1.051978,9.714190
0.155910,0.108353,-0.006113,3.056529,0.075871,1.033612,9.698318
0.164095,0.108315,-0.006109,3.056535,0.078748,1.040974,9.694231
0.175095,0.108290,-0.006102,3.056537,0.064671,1.044129,9.696265
0.196570,0.108280,-0.006077,3.056547,0.067611,1.041510,9.703252
0.204874,0.108258,-0.006092,3.056505,0.065521,1.036486,9.696761
0.217870,0.108245,-0.006106,3.056499,0.100028,1.021588,9.708164
0.221972,0.108239,-0.006111,3.056486,0.073792,1.025277,9.701729
0.225190,0.108204,-0.006113,3.056476,0.087095,1.033688,9.686656
0.235190,0.108233,-0.006116,3.056461,0.079223,1.030867,9.705082
0.244669,0.108252,-0.006111,3.056474,0.069607,1.037090,9.704939
0.255216,0.108269,-0.006101,3.056452,0.080553,1.018759,9.694139
0.263902,0.108258,-0.006098,3.056425,0.071763,1.027574,9.702212
0.274312,0.108263,-0.006080,3.056445,0.082353,1.039714,9.712915
0.284278,0.108288,-0.006071,3.056460,0.074315,1.041096,9.697334
0.295155,0.108228,-0.006056,3.056458,0.079495,1.047782,9.706285
0.305402,0.108227,-0.006072,3.056466,0.082078,1.043813,9.705556
0.314469,0.108198,-0.006083,3.056402,0.064313,1.040871,9.700957
0.323871,0.108209,-0.006081,3.056388,0.073569,1.040566,9.702291
0.332790,0.108166,-0.006076,3.056387,0.083485,1.047997,9.696511
0.349451,0.108142,-0.006084,3.056402,0.070140,1.058388,9.709973
0.358896,0.108149,-0.006093,3.056415,0.089250,1.045342,9.704098
0.364418,0.108170,-0.006106,3.056429,0.082661,1.037040,9.703876
0.376638,0.108164,-0.006106,3.056398,0.086823,1.034400,9.711744
0.386592,0.108161,-0.006069,3.056402,0.078025,1.042670,9.701574
0.393604,0.108161,-0.006071,3.056358,0.070828,1.048646,9.701548
0.409135,0.108129,-0.006105,3.056394,0.082359,1.048024,9.709888
0.414948,0.108144,-0.006115,3.056400,0.071697,1.034828,9.699519
0.422017,0.108150,-0.006108,3.056377,0.074314,1.024951,9.698709
0.438849,0.108155,-0.006101,3.056334,0.070455,1.040272,9.698786
0.446353,0.108125,-0.006110,3.056370,0.077929,1.029137,9.713916
0.455833,0.108125,-0.006093,3.056376,0.081513,1.037582,9.704831
0.464545,0.108103,-0.006075,3.056368,0.079953,1.024274,9.721170
0.476204,0.108114,-0.006081,3.056387,0.085092,1.029118,9.693029
0.484243,0.108115,-0.006086,3.056385,0.070349,1.032291,9.707017
0.497150,0.108127,-0.006073,3.056378,0.078878,1.029752,9.707989
0.507528,0.108172,-0.006069,3.056437,0.078735,1.035238,9.715563
0.514789,0.108149,-0.006060,3.056419,0.079447,1.021495,9.708640
0.522972,0.108135,-0.006053,3.056430,0.072084,1.028337,9.704979
0.534474,0.108115,-0.006032,3.056444,0.081349,1.024261,9.715017
0.545772,0.108115,-0.006036,3.056397,0.086721,1.043958,9.704105
0.556423,0.108124,-0.006023,3.056348,0.069556,1.046481,9.705524
0.566094,0.108164,-0.006009,3.056334,0.087514,1.034283,9.715455
0.575861,0.108136,-0.006012,3.056294,0.074848,1.033056,9.690619
0.582740,0.108161,-0.006025,3.056324,0.080534,1.037184,9.703254
