Img_Time(Sec),IMU_Time(Sec),Roll(rad),Pitch(rad),Yaw(rad)
0.00000,0.00000,0.10835,-0.00588,3.05710
0.01026,0.00271,0.10830,-0.00604,3.05674
0.01667,0.02437,0.10832,-0.00604,3.05674
0.02228,0.02437,0.10832,-0.00604,3.05674
0.03476,0.03284,0.10836,-0.00606,3.05669
0.03875,0.03284,0.10836,-0.00606,3.05669
0.15536,0.15591,0.10835,-0.00611,3.05653
0.31904,0.31447,0.10820,-0.00608,3.05640
0.49491,0.49715,0.10813,-0.00607,3.05638
0.64468,0.64731,0.10817,-0.00604,3.05618
0.81430,0.85590,0.10814,-0.00601,3.05618
0.97661,0.85590,0.10814,-0.00601,3.05618
1.14171,1.22525,0.10814,-0.00602,3.05619
1.32179,1.34914,0.10815,-0.00604,3.05613
1.47525,1.36314,0.10812,-0.00605,3.05604
1.68022,1.65643,0.10812,-0.00603,3.05588
1.80367,1.65643,0.10812,-0.00603,3.05588
2.01371,1.65643,0.10812,-0.00603,3.05588
2.18850,2.38868,0.10813,-0.00602,3.05590
2.30670,2.38868,0.10813,-0.00602,3.05590
2.49706,2.48212,0.10805,-0.00600,3.05558
2.63279,2.52221,0.10803,-0.00603,3.05547
2.84476,2.52221,0.10803,-0.00603,3.05547
2.96504,3.38832,0.10806,-0.00604,3.05547
3.13624,3.38832,0.10806,-0.00604,3.05547
3.30411,3.38832,0.10806,-0.00604,3.05547
3.51724,3.49571,0.10810,-0.00601,3.05523
3.62938,3.49571,0.10810,-0.00601,3.05523
3.79700,3.49571,0.10810,-0.00601,3.05523
3.96383,4.21475,0.10809,-0.00600,3.05521
4.13339,4.21475,0.10809,-0.00600,3.05521
4.31946,4.28222,0.10807,-0.00595,3.05512
4.46867,4.28222,0.10807,-0.00595,3.05512
4.62979,4.28222,0.10807,-0.00595,3.05512
4.79932,4.98776,0.10809,-0.00593,3.05508
4.96562,4.98776,0.10809,-0.00593,3.05508
5.13341,5.06802,0.10816,-0.00595,3.05477
5.34030,5.06802,0.10816,-0.00595,3.05477
