Time(Sec),X(m),Y(m),theta(rad),V_x(m/s),V_y(m/s)
0.000000,59.459520,-58.879693,-1.682005,0.000000,0.000000
0.000102,59.459520,-58.879693,-1.682005,0.000000,0.000000
0.000319,59.459520,-58.879693,-1.682005,0.000000,0.000000
0.000582,59.459520,-58.879693,-1.682005,0.000000,0.000000
0.000672,59.459520,-58.879693,-1.682005,0.000000,0.000000
0.000704,59.459520,-58.879693,-1.682005,0.000000,0.000000
0.000804,59.459520,-58.879693,-1.682005,0.000000,0.000000
0.052943,59.459520,-58.879693,-1.682005,0.000000,0.000000
0.107066,59.459520,-58.879693,-1.682005,0.000000,0.000000
0.152183,59.459520,-58.879693,-1.682005,0.000000,0.000000
0.203139,59.459519,-58.879699,-1.682005,0.000125,0.000000
0.252976,59.459516,-58.879724,-1.682005,0.000499,0.000001
0.303207,59.459516,-58.879724,-1.682005,0.000000,0.000000
0.350106,59.459516,-58.879724,-1.682005,0.000000,0.000000
0.401881,59.459516,-58.879724,-1.682005,0.000000,0.000000
0.452161,59.459516,-58.879724,-1.682005,0.000000,0.000000
0.502949,59.459516,-58.879724,-1.682005,0.000000,0.000000
0.551748,59.459516,-58.879724,-1.682005,0.000000,0.000000
0.601680,59.459516,-58.879724,-1.682005,0.000000,0.000000
0.651924,59.459516,-58.879724,-1.682005,0.000000,0.000000
0.935678,59.459516,-58.879724,-1.682005,0.000000,0.000000
1.415663,59.459516,-58.879724,-1.682005,0.000000,0.000000
1.415687,59.459516,-58.879724,-1.682005,0.000000,0.000000
1.709096,59.459516,-58.879724,-1.682005,0.000000,0.000000
1.709483,59.459516,-58.879724,-1.682005,0.000000,0.000000
2.548565,59.459516,-58.879724,-1.682005,0.000000,0.000000
2.548638,59.459516,-58.879724,-1.682005,0.000000,0.000000
2.561814,59.459516,-58.879724,-1.682005,0.000000,0.000000
2.562041,59.459516,-58.879724,-1.682005,0.000000,0.000000
2.575108,59.459516,-58.879724,-1.682005,0.000000,0.000000
2.575169,59.459516,-58.879724,-1.682005,0.000000,0.000000
3.255047,59.459516,-58.879724,-1.682005,0.000000,0.000000
3.255059,59.459516,-58.879724,-1.682005,0.000000,0.000000
3.268443,59.459516,-58.879724,-1.682005,0.000000,0.000000
3.268453,59.459516,-58.879724,-1.682005,0.000000,0.000000
3.548597,59.459516,-58.879724,-1.682005,0.000000,0.000000
3.548621,59.459516,-58.879724,-1.682005,0.000000,0.000000
3.574748,59.459516,-58.879724,-1.682005,0.000000,0.000000
3.576191,59.459516,-58.879724,-1.682005,0.000000,0.000000
4.161184,59.459516,-58.879724,-1.682005,0.000000,0.000000
4.161195,59.459516,-58.879724,-1.682005,0.000000,0.000000
4.174476,59.459516,-58.879724,-1.682005,0.000000,0.000000
4.174488,59.459516,-58.879724,-1.682005,0.000000,0.000000
4.308307,59.459516,-58.879724,-1.682005,0.000000,0.000000
4.308767,59.459516,-58.879724,-1.682005,0.000000,0.000000
4.321413,59.459516,-58.879724,-1.682005,0.000000,0.000000
4.321458,59.459516,-58.879724,-1.682005,0.000000,0.000000
4.854204,59.459516,-58.879724,-1.682005,0.000000,0.000000
4.854209,59.459516,-58.879724,-1.682005,0.000000,0.000000
4.920991,59.459516,-58.879724,-1.682005,0.000000,0.000000
4.921029,59.459516,-58.879724,-1.682005,0.000000,0.000000
5.094233,59.459516,-58.879724,-1.682005,0.000000,0.000000
5.094266,59.459516,-58.879724,-1.682005,0.000000,0.000000
5.120774,59.459516,-58.879724,-1.682005,0.000000,0.000000
5.120794,59.459516,-58.879724,-1.682005,0.000000,0.000000
5.947065,59.459516,-58.879724,-1.682005,0.000000,0.000000
6.013909,59.459516,-58.879724,-1.682005,0.000000,0.000000
6.013919,59.459516,-58.879724,-1.682005,0.000000,0.000000
6.040601,59.459516,-58.879724,-1.682005,0.000000,0.000000
6.040624,59.459516,-58.879724,-1.682005,0.000000,0.000000
6.080696,59.459516,-58.879724,-1.682005,0.000000,0.000000
6.080739,59.459516,-58.879724,-1.682005,0.000000,0.000000
6.107249,59.459516,-58.879724,-1.682005,0.000000,0.000000
6.107285,59.459516,-58.879724,-1.682005,0.000000,0.000000
6.986816,59.459516,-58.879724,-1.682005,0.000000,0.000000
6.986823,59.459516,-58.879724,-1.682005,0.000000,0.000000
7.000327,59.459516,-58.879724,-1.682005,0.000000,0.000000
7.000345,59.459516,-58.879724,-1.682005,0.000000,0.000000
7.013671,59.459516,-58.879724,-1.682005,0.000000,0.000000
7.013683,59.459516,-58.879724,-1.682005,0.000000,0.000000
7.040361,59.459516,-58.879724,-1.682005,0.000000,0.000000
7.040378,59.459516,-58.879724,-1.682005,0.000000,0.000000
8.519617,59.459516,-58.879724,-1.682005,0.000000,0.000000
8.519639,59.459516,-58.879724,-1.682005,0.000000,0.000000
8.572824,59.459516,-58.879724,-1.682005,0.000000,0.000000
8.572838,59.459516,-58.879724,-1.682005,0.000000,0.000000
8.599563,59.459516,-58.879724,-1.682005,0.000000,0.000000
8.599576,59.459516,-58.879724,-1.682005,0.000000,0.000000
8.748765,59.459516,-58.879724,-1.682005,0.000000,0.000000
8.748776,59.459516,-58.879724,-1.682005,0.000000,0.000000
11.011957,59.459516,-58.879724,-1.682005,0.000000,0.000000
11.011968,59.459516,-58.879724,-1.682005,0.000000,0.000000
11.078792,59.459516,-58.879724,-1.682005,0.000000,0.000000
11.078801,59.459516,-58.879724,-1.682005,0.000000,0.000000
11.185203,59.459516,-58.879724,-1.682005,0.000000,0.000000
11.185217,59.459516,-58.879724,-1.682005,0.000000,0.000000
11.265321,59.459516,-58.879724,-1.682005,0.000000,0.000000
11.265342,59.459516,-58.879724,-1.682005,0.000000,0.000000
13.064685,59.459516,-58.879724,-1.682005,0.000000,0.000000
13.091242,59.459516,-58.879724,-1.682005,0.000000,0.000000
13.091252,59.459516,-58.879724,-1.682005,0.000000,0.000000
13.157848,59.459516,-58.879724,-1.682005,0.000000,0.000000
13.157866,59.459516,-58.879724,-1.682005,0.000000,0.000000
13.211295,59.459516,-58.879724,-1.682005,0.000000,0.000000
