Time(ROS) Frame LO(m) AO(deg)
1570715323.346224070 0001 0.00000 47.55550
1570715323.204745531 0002 0.00000 47.53487
1570715323.366339684 0003 0.00000 47.53487
1570715323.534750223 0004 0.00000 47.53487
1570715323.734674931 0005 0.00000 47.53201
1570715323.865832329 0006 0.00000 47.53201
1570715324.326633692 0007 0.00000 47.52284
1570715324.194906473 0008 0.00000 47.51539
1570715324.372661591 0009 0.00000 47.51424
1570715324.524242163 0010 0.00000 47.50278
1570715324.693568707 0011 0.00000 47.50278
1570715324.855850220 0012 0.00000 47.50278
1570715325.211832523 0013 0.00000 47.50336
1570715325.200438976 0014 0.00000 47.49992
1570715325.354674339 0015 0.00000 47.49476
1570715325.557380199 0016 0.00000 47.48560
1570715325.683120489 0017 0.00000 47.48560
1570715325.892435074 0018 0.00000 47.48560
1570715326.562906265 0019 0.00000 47.48674
1570715326.183437109 0020 0.00000 47.48674
1570715326.374542475 0021 0.00000 47.46841
1570715326.511140823 0022 0.00000 47.46210
1570715326.720971823 0023 0.00000 47.46210
1570715326.844537973 0024 0.00000 47.46210
1570715327.154224634 0025 0.00000 47.46210
1570715327.181927443 0026 0.00000 47.46210
1570715327.392923117 0027 0.00000 47.44835
1570715327.509099722 0028 0.00000 47.44835
1570715327.676338196 0029 0.00000 47.44835
1570715327.843301296 0030 0.00000 47.44721
1570715328.126301765 0031 0.00000 47.44721
1570715328.196667194 0032 0.00000 47.44205
1570715328.347533941 0033 0.00000 47.44205
1570715328.509254932 0034 0.00000 47.44205
1570715328.677901268 0035 0.00000 47.43976
1570715328.844656467 0036 0.00000 47.43976
1570715329.124497175 0037 0.00000 47.42200
1570715329.217243671 0038 0.00000 47.42200
1570715329.342700005 0039 0.00000 47.42314
1570715329.513119459 0040 0.00000 47.42314
1570715329.677183151 0041 0.00000 47.42142
1570715329.844852209 0042 0.00000 47.42544
1570715330.161640882 0043 0.00000 47.42544
1570715330.176149368 0044 0.00000 47.42544
1570715330.361666203 0045 0.00000 47.42142
1570715330.518473148 0046 -0.11890 -5.33899
1570715330.676997185 0047 -0.11890 -5.33899
1570715330.845103741 0048 -0.11901 -5.34816
1570715331.133831978 0049 -0.11901 -5.34816
1570715331.198065281 0050 -0.11901 -5.34816
1570715331.342347860 0051 -0.11901 -5.34816
1570715331.509813547 0052 -0.11900 -5.34644
1570715331.681419134 0053 -0.11900 -5.34644
1570715331.843633175 0054 -0.07096 -5.34644
1570715332.165273428 0055 -0.07096 -5.34644
1570715332.196798563 0056 -0.07091 -5.34357
1570715332.343518257 0057 -0.07091 -5.34357
1570715332.519447327 0058 -0.07091 -5.34357
1570715332.678961992 0059 -0.07091 -5.34357
1570715332.864448786 0060 -0.07091 -5.34357
1570715333.244186878 0061 -0.07091 -5.34357
1570715333.191467762 0062 -0.07091 -5.34357
